net,length_um
net3,53.36µm
net8,44.5µm
_06_,44.04µm
net6,40.38µm
net2,38.48µm
net7,34.62µm
_14_,22.6µm
_05_,21.76µm
_20_,20.82µm
net4,17.77µm
_10_,16.52µm
A[0],16.01µm
net1,15.98µm
_03_,15.8µm
_30_,15.44µm
_04_,14.3µm
_27_,11.475µm
net5,11.38µm
_15_,11.265µm
_07_,11.06µm
A[3],10.08µm
_12_,10µm
P[7],9.86µm
_18_,9.78µm
P[3],8.96µm
P[0],8.81µm
_22_,8.74µm
_08_,8.3µm
B[1],8.01µm
_24_,7.86µm
_16_,7.56µm
P[1],7.25µm
_29_,7.2µm
_13_,7.1µm
_01_,6.94µm
B[3],6.77µm
A[1],6.57µm
mul_ll.pp1,6.3µm
B[2],6.09µm
_26_,5.86µm
_17_,5.84µm
_23_,5.8µm
net9,5.74µm
B[0],5.63µm
A[2],5.41µm
net10,5.395µm
P[2],5.07µm
P[5],4.73µm
_25_,4.56µm
P[4],4.39µm
P[6],4.39µm
net13,4.36µm
net15,4.02µm
_00_,3.88µm
net12,3.76µm
_02_,3.54µm
_11_,3.2µm
mul_ll.pp2,3.1µm
_28_,3.08µm
net14,2.98µm
net11,2.76µm
_19_,2.5µm
_09_,2.18µm
net16,2.04µm
_21_,1.38µm
