net,length_um
net13,255.86µm
net35,197.08µm
net9,172.04µm
net32,158.76µm
net34,152.33µm
net6,146.96µm
net38,142.54µm
net4,141.44µm
net8,135.09µm
net40,133.08µm
net44,129.78µm
net1,124.56µm
net49,116.84µm
net2,114.92µm
net10,102.64µm
net12,99.52µm
net33,95.58µm
_050_,93.45µm
net48,93.12µm
net11,81.92µm
net47,78.17µm
net3,77.08µm
net68,75.44µm
net7,74.4µm
net77,68.64µm
net37,66.36µm
net45,65.7µm
net39,65.15µm
net36,63.215µm
net31,60.76µm
net16,60.1µm
net43,59.84µm
net14,59.6µm
net41,58.62µm
net30,57.9µm
_151_,55.34µm
net17,55.18µm
net42,54.12µm
_045_,53.22µm
_033_,52.86µm
net18,51.66µm
_076_,51.54µm
_115_,49.7µm
_059_,49.16µm
net84,48.82µm
_173_,47.98µm
net20,47.98µm
net46,47.37µm
net19,47.06µm
net59,46.78µm
_088_,46.37µm
net29,42.66µm
_171_,42.34µm
_097_,39.88µm
_084_,39.8µm
_141_,39.26µm
_229_,38.76µm
net15,37.985µm
_004_,36.8µm
net28,36.54µm
_096_,36.44µm
_112_,36.41µm
_116_,36.22µm
_193_,33.05µm
_039_,32.14µm
_055_,31.96µm
_162_,31.54µm
_152_,31.12µm
_012_,30.72µm
_125_,29.78µm
_169_,29.76µm
net5,29.3µm
_038_,28.74µm
_117_,27.86µm
_030_,27.3µm
_196_,27.16µm
_081_,27.14µm
_092_,27µm
_195_,26.96µm
_011_,26.58µm
_201_,26µm
net27,25.96µm
_086_,25.44µm
_067_,25.34µm
_100_,24.84µm
_007_,24.44µm
net80,24.28µm
_149_,23.96µm
_164_,23.48µm
_176_,23.37µm
_087_,23.14µm
net26,22.88µm
_021_,22.28µm
_208_,22.22µm
_216_,22.16µm
_056_,22µm
_226_,21.84µm
_031_,21.78µm
_179_,21.74µm
net85,21.44µm
net61,21.28µm
_225_,21.25µm
_046_,21.24µm
_069_,21.2µm
_103_,21.12µm
_205_,20.66µm
_203_,20.6µm
_218_,20.58µm
_122_,20.42µm
_104_,20.3µm
_198_,20.24µm
_075_,20.12µm
_060_,20.08µm
_207_,19.97µm
_028_,19.86µm
_186_,19.86µm
_048_,19.66µm
_102_,19.66µm
_118_,19.46µm
_214_,19.44µm
_227_,19.42µm
_183_,19.06µm
net78,18.88µm
_120_,18.54µm
_215_,18.28µm
_178_,18.26µm
_222_,18.12µm
_184_,17.98µm
_155_,17.97µm
net83,17.76µm
_089_,17.5µm
_029_,17.45µm
_099_,17.44µm
_058_,17.36µm
_181_,17.28µm
_204_,17.18µm
_070_,16.94µm
_080_,16.94µm
_015_,16.76µm
_062_,16.76µm
_130_,16.64µm
net64,16.58µm
_020_,16.48µm
_017_,16.32µm
_197_,16.1µm
net25,16.1µm
_109_,16.04µm
_185_,16.02µm
_024_,15.98µm
_019_,15.82µm
_098_,15.72µm
_133_,15.72µm
_147_,15.635µm
P[8],15.36µm
_174_,15.36µm
net76,15.26µm
_187_,15.2µm
_145_,14.96µm
_167_,14.76µm
_093_,14.72µm
