Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VPWR,li1,39.1000,35.3600,1.799991
FILLER_9_57,VPWR,li1,34.5000,35.3600,1.799992
FILLER_9_53,VPWR,li1,30.5900,35.3600,1.799993
FILLER_9_41,VPWR,li1,27.1400,35.3600,1.799994
FILLER_9_29,VPWR,li1,21.6200,35.3600,1.799995
FILLER_9_27,VPWR,li1,18.1700,35.3600,1.799995
FILLER_9_19,VPWR,li1,16.1000,35.3600,1.799994
FILLER_9_7,VPWR,li1,11.5000,35.3600,1.799993
FILLER_8_77,VPWR,li1,41.8600,35.3600,1.799990
FILLER_8_65,VPWR,li1,38.1800,35.3600,1.799991
FILLER_8_53,VPWR,li1,32.6600,35.3600,1.799992
FILLER_8_41,VPWR,li1,27.1400,35.3600,1.799994
FILLER_8_29,VPWR,li1,21.6200,35.3600,1.799995
FILLER_8_27,VPWR,li1,18.1700,35.3600,1.799995
FILLER_8_15,VPWR,li1,15.1800,35.3600,1.799994
FILLER_8_3,VPWR,li1,9.6600,35.3600,1.799993
FILLER_7_76,VPWR,li1,40.7100,29.9200,1.799985
FILLER_7_64,VPWR,li1,37.7200,29.9200,1.799986
FILLER_7_54,VPWR,li1,30.8200,29.9200,1.799989
FILLER_7_46,VPWR,li1,28.5200,29.9200,1.799990
FILLER_7_40,VPWR,li1,24.1500,29.9200,1.799992
FILLER_7_27,VPWR,li1,19.7800,29.9200,1.799993
FILLER_7_15,VPWR,li1,15.1800,29.9200,1.799992
FILLER_7_7,VPWR,li1,8.9700,29.9200,1.799991
FILLER_6_79,VPWR,li1,42.3200,29.9200,1.799985
FILLER_6_67,VPWR,li1,39.1000,29.9200,1.799986
FILLER_6_55,VPWR,li1,33.5800,29.9200,1.799988
FILLER_6_43,VPWR,li1,28.0600,29.9200,1.799990
FILLER_6_20,VPWR,li1,16.5600,29.9200,1.799992
FILLER_6_6,VPWR,li1,9.6600,29.9200,1.799991
FILLER_5_73,VPWR,li1,40.9400,24.4800,1.799987
FILLER_5_55,VPWR,li1,31.0500,24.4800,1.799990
FILLER_5_43,VPWR,li1,28.0600,24.4800,1.799990
FILLER_5_31,VPWR,li1,22.5400,24.4800,1.799993
FILLER_5_19,VPWR,li1,17.0200,24.4800,1.799992
FILLER_5_7,VPWR,li1,11.5000,24.4800,1.799991
FILLER_4_71,VPWR,li1,39.5600,24.4800,1.799987
FILLER_4_59,VPWR,li1,35.4200,24.4800,1.799988
FILLER_4_47,VPWR,li1,29.9000,24.4800,1.799990
FILLER_4_21,VPWR,li1,15.8700,24.4800,1.799992
FILLER_4_13,VPWR,li1,13.3400,24.4800,1.799991
FILLER_3_80,VPWR,li1,42.5500,19.0400,1.799991
FILLER_3_76,VPWR,li1,41.4000,19.0400,1.799991
