net,length_um
net8,52.075µm
net1,38.26µm
net5,37.96µm
net3,37.84µm
net6,36.44µm
_09_,35.78µm
net4,35.24µm
_04_,29.68µm
_19_,24.54µm
_30_,22.26µm
_15_,21.98µm
net2,20.215µm
_17_,19.34µm
net7,18.64µm
_08_,14.84µm
_11_,14.06µm
_12_,13.8µm
_06_,13.68µm
B[2],12.4µm
_24_,12.26µm
_28_,11.5µm
A[0],11.02µm
_23_,10.4µm
_16_,10.34µm
_02_,10.3µm
_03_,9µm
P[2],8.96µm
_31_,8.9µm
A[1],8.72µm
B[0],8.72µm
_18_,8.41µm
mul_ll.pp2,8.04µm
_26_,7.52µm
_20_,7.44µm
_14_,6.74µm
net15,6.7µm
A[3],6.09µm
B[3],6.09µm
net14,6.06µm
P[3],5.75µm
P[5],5.75µm
P[6],5.75µm
_05_,5.74µm
B[1],5.41µm
net12,5.38µm
A[2],5.29µm
net16,5.26µm
_25_,5.22µm
P[7],5.07µm
_01_,5.02µm
net9,4.92µm
P[0],4.73µm
_00_,4.6µm
_10_,4.46µm
P[1],4.39µm
P[4],4.39µm
net13,4.36µm
_07_,4.34µm
_21_,4µm
_27_,3.88µm
net11,3.76µm
_22_,3.68µm
_29_,3.1µm
_13_,3.08µm
net10,2.52µm
mul_ll.pp1,0.46µm
