Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_75,VGND,li1,41.4000,38.0800,0.000003
FILLER_9_63,VGND,li1,37.2600,38.0800,0.000003
FILLER_9_57,VGND,li1,32.2000,38.0800,0.000003
FILLER_9_55,VGND,li1,31.0500,38.0800,0.000003
FILLER_9_51,VGND,li1,29.2100,38.0800,0.000003
FILLER_9_45,VGND,li1,27.6000,38.0800,0.000003
FILLER_9_41,VGND,li1,24.6100,38.0800,0.000002
FILLER_9_29,VGND,li1,21.6200,38.0800,0.000003
FILLER_9_16,VGND,li1,15.6400,38.0800,0.000004
FILLER_8_80,VGND,li1,42.5500,32.6400,0.000013
FILLER_8_74,VGND,li1,40.9400,32.6400,0.000013
FILLER_8_47,VGND,li1,27.3700,32.6400,0.000009
FILLER_8_37,VGND,li1,23.0000,32.6400,0.000009
FILLER_8_29,VGND,li1,20.7000,32.6400,0.000009
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000011
FILLER_8_23,VGND,li1,17.0200,32.6400,0.000011
FILLER_8_11,VGND,li1,10.8100,32.6400,0.000012
FILLER_7_76,VGND,li1,40.7100,32.6400,0.000013
FILLER_7_70,VGND,li1,39.1000,32.6400,0.000012
FILLER_7_57,VGND,li1,33.1200,32.6400,0.000010
FILLER_7_50,VGND,li1,29.9000,32.6400,0.000010
FILLER_7_37,VGND,li1,23.2300,32.6400,0.000009
FILLER_7_29,VGND,li1,20.7000,32.6400,0.000009
FILLER_7_20,VGND,li1,15.1800,32.6400,0.000012
FILLER_7_3,VGND,li1,7.3600,32.6400,0.000013
FILLER_6_78,VGND,li1,42.0900,27.2000,0.000006
FILLER_6_70,VGND,li1,39.5600,27.2000,0.000006
FILLER_6_58,VGND,li1,34.9600,27.2000,0.000006
FILLER_6_37,VGND,li1,22.7700,27.2000,0.000006
FILLER_6_29,VGND,li1,20.7000,27.2000,0.000007
FILLER_6_26,VGND,li1,17.9400,27.2000,0.000008
FILLER_6_18,VGND,li1,15.6400,27.2000,0.000009
FILLER_5_78,VGND,li1,42.0900,27.2000,0.000006
FILLER_5_66,VGND,li1,38.6400,27.2000,0.000006
FILLER_5_54,VGND,li1,30.8200,27.2000,0.000006
FILLER_5_33,VGND,li1,22.5400,27.2000,0.000006
FILLER_5_6,VGND,li1,9.2000,27.2000,0.000010
FILLER_4_79,VGND,li1,42.3200,21.7600,0.000005
FILLER_4_71,VGND,li1,40.0200,21.7600,0.000005
FILLER_4_59,VGND,li1,35.4200,21.7600,0.000005
FILLER_4_53,VGND,li1,30.3600,21.7600,0.000005
FILLER_4_45,VGND,li1,26.4500,21.7600,0.000004
FILLER_4_41,VGND,li1,25.3000,21.7600,0.000004
FILLER_4_29,VGND,li1,21.6200,21.7600,0.000004
FILLER_4_25,VGND,li1,17.7100,21.7600,0.000005
FILLER_4_17,VGND,li1,15.1800,21.7600,0.000005
FILLER_4_11,VGND,li1,10.8100,21.7600,0.000005
FILLER_4_7,VGND,li1,9.6600,21.7600,0.000005
FILLER_3_78,VGND,li1,42.0900,21.7600,0.000005
FILLER_3_70,VGND,li1,39.5600,21.7600,0.000005
FILLER_3_55,VGND,li1,31.0500,21.7600,0.000005
FILLER_3_44,VGND,li1,26.2200,21.7600,0.000004
FILLER_3_32,VGND,li1,23.0000,21.7600,0.000004
FILLER_3_20,VGND,li1,17.4800,21.7600,0.000005
FILLER_3_11,VGND,li1,10.8100,21.7600,0.000005
FILLER_3_3,VGND,li1,8.7400,21.7600,0.000005
FILLER_2_73,VGND,li1,40.0200,16.3200,0.000018
FILLER_2_54,VGND,li1,30.5900,16.3200,0.000013
FILLER_2_48,VGND,li1,28.9800,16.3200,0.000013
FILLER_2_36,VGND,li1,24.8400,16.3200,0.000010
FILLER_2_21,VGND,li1,15.4100,16.3200,0.000014
FILLER_2_17,VGND,li1,14.2600,16.3200,0.000014
FILLER_2_11,VGND,li1,10.8100,16.3200,0.000015
FILLER_2_7,VGND,li1,9.6600,16.3200,0.000015
FILLER_1_76,VGND,li1,40.7100,16.3200,0.000018
FILLER_1_70,VGND,li1,39.1000,16.3200,0.000018
FILLER_1_57,VGND,li1,33.1200,16.3200,0.000014
FILLER_1_53,VGND,li1,30.5900,16.3200,0.000013
FILLER_1_41,VGND,li1,27.1400,16.3200,0.000011
FILLER_1_29,VGND,li1,21.6200,16.3200,0.000012
