Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VPWR,li1,39.1000,35.3600,1.799989
FILLER_9_57,VPWR,li1,34.5000,35.3600,1.799991
FILLER_9_53,VPWR,li1,30.5900,35.3600,1.799992
FILLER_9_41,VPWR,li1,27.1400,35.3600,1.799992
FILLER_9_29,VPWR,li1,21.6200,35.3600,1.799994
FILLER_9_23,VPWR,li1,16.3300,35.3600,1.799993
FILLER_9_15,VPWR,li1,14.2600,35.3600,1.799993
FILLER_9_3,VPWR,li1,9.6600,35.3600,1.799993
FILLER_8_78,VPWR,li1,42.0900,35.3600,1.799989
FILLER_8_70,VPWR,li1,39.5600,35.3600,1.799989
FILLER_8_60,VPWR,li1,33.8100,35.3600,1.799991
FILLER_8_48,VPWR,li1,30.3600,35.3600,1.799992
FILLER_8_36,VPWR,li1,24.8400,35.3600,1.799993
FILLER_8_27,VPWR,li1,18.1700,35.3600,1.799993
FILLER_8_15,VPWR,li1,15.1800,35.3600,1.799993
FILLER_8_3,VPWR,li1,9.6600,35.3600,1.799993
FILLER_7_74,VPWR,li1,40.2500,29.9200,1.799988
FILLER_7_65,VPWR,li1,35.6500,29.9200,1.799989
FILLER_7_57,VPWR,li1,33.5800,29.9200,1.799989
FILLER_7_55,VPWR,li1,31.0500,29.9200,1.799990
FILLER_7_43,VPWR,li1,28.0600,29.9200,1.799990
FILLER_7_27,VPWR,li1,18.6300,29.9200,1.799990
FILLER_7_15,VPWR,li1,15.1800,29.9200,1.799989
FILLER_7_3,VPWR,li1,9.6600,29.9200,1.799987
FILLER_6_76,VPWR,li1,40.9400,29.9200,1.799988
FILLER_6_68,VPWR,li1,38.6400,29.9200,1.799988
FILLER_6_52,VPWR,li1,29.6700,29.9200,1.799990
FILLER_6_40,VPWR,li1,26.6800,29.9200,1.799990
FILLER_6_15,VPWR,li1,12.8800,29.9200,1.799988
FILLER_6_7,VPWR,li1,10.5800,29.9200,1.799987
FILLER_5_76,VPWR,li1,40.9400,24.4800,1.799994
FILLER_5_68,VPWR,li1,38.6400,24.4800,1.799994
FILLER_5_54,VPWR,li1,30.8200,24.4800,1.799995
FILLER_5_46,VPWR,li1,28.5200,24.4800,1.799995
FILLER_5_34,VPWR,li1,23.9200,24.4800,1.799996
FILLER_5_22,VPWR,li1,18.4000,24.4800,1.799996
FILLER_5_15,VPWR,li1,13.1100,24.4800,1.799996
FILLER_5_7,VPWR,li1,10.5800,24.4800,1.799995
FILLER_4_74,VPWR,li1,40.4800,24.4800,1.799994
FILLER_4_61,VPWR,li1,33.8100,24.4800,1.799994
FILLER_4_49,VPWR,li1,30.8200,24.4800,1.799995
FILLER_4_37,VPWR,li1,25.3000,24.4800,1.799996
FILLER_4_29,VPWR,li1,19.0900,24.4800,1.799996
FILLER_4_27,VPWR,li1,18.1700,24.4800,1.799996
FILLER_4_19,VPWR,li1,16.1000,24.4800,1.799996
FILLER_4_7,VPWR,li1,11.5000,24.4800,1.799995
FILLER_3_69,VPWR,li1,40.0200,19.0400,1.799991
FILLER_3_57,VPWR,li1,34.5000,19.0400,1.799991
FILLER_3_54,VPWR,li1,30.8200,19.0400,1.799992
FILLER_3_46,VPWR,li1,28.5200,19.0400,1.799993
FILLER_3_34,VPWR,li1,23.9200,19.0400,1.799993
FILLER_3_15,VPWR,li1,14.2600,19.0400,1.799992
FILLER_3_3,VPWR,li1,9.6600,19.0400,1.799991
FILLER_2_76,VPWR,li1,40.7100,19.0400,1.799991
FILLER_2_70,VPWR,li1,39.1000,19.0400,1.799991
FILLER_2_38,VPWR,li1,23.9200,19.0400,1.799993
FILLER_2_29,VPWR,li1,19.0900,19.0400,1.799993
FILLER_2_24,VPWR,li1,17.4800,19.0400,1.799993
FILLER_2_19,VPWR,li1,14.7200,19.0400,1.799992
FILLER_2_7,VPWR,li1,11.5000,19.0400,1.799991
FILLER_1_74,VPWR,li1,40.2500,13.6000,1.799993
FILLER_1_66,VPWR,li1,37.7200,13.6000,1.799993
FILLER_1_50,VPWR,li1,28.7500,13.6000,1.799995
FILLER_1_44,VPWR,li1,27.1400,13.6000,1.799995
FILLER_1_35,VPWR,li1,23.0000,13.6000,1.799996
FILLER_1_27,VPWR,li1,18.1700,13.6000,1.799996
FILLER_1_15,VPWR,li1,15.1800,13.6000,1.799996
FILLER_1_3,VPWR,li1,9.6600,13.6000,1.799996
FILLER_0_75,VPWR,li1,41.4000,13.6000,1.799993
FILLER_0_63,VPWR,li1,37.2600,13.6000,1.799993
FILLER_0_57,VPWR,li1,32.2000,13.6000,1.799993
FILLER_0_55,VPWR,li1,31.0500,13.6000,1.799994
FILLER_0_49,VPWR,li1,28.7500,13.6000,1.799995
FILLER_0_42,VPWR,li1,25.5300,13.6000,1.799995
FILLER_0_34,VPWR,li1,23.0000,13.6000,1.799996
FILLER_0_29,VPWR,li1,19.3200,13.6000,1.799996
FILLER_0_27,VPWR,li1,18.1700,13.6000,1.799996
FILLER_0_15,VPWR,li1,15.1800,13.6000,1.799996
FILLER_0_3,VPWR,li1,9.6600,13.6000,1.799996
output16,VPWR,li1,41.8600,29.9200,1.799988
output15,VPWR,li1,41.8600,35.3600,1.799989
output14,VPWR,li1,17.4800,35.3600,1.799993
output13,VPWR,li1,7.8200,29.9200,1.799986
output12,VPWR,li1,7.8200,19.0400,1.799990
output11,VPWR,li1,27.1400,13.6000,1.799995
