Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_75,VGND,li1,41.4000,38.0800,0.000008
FILLER_9_63,VGND,li1,37.2600,38.0800,0.000008
FILLER_9_57,VGND,li1,32.2000,38.0800,0.000007
FILLER_9_53,VGND,li1,30.5900,38.0800,0.000007
FILLER_9_41,VGND,li1,27.1400,38.0800,0.000006
FILLER_9_29,VGND,li1,21.6200,38.0800,0.000006
FILLER_9_27,VGND,li1,18.1700,38.0800,0.000006
FILLER_9_19,VGND,li1,16.1000,38.0800,0.000007
FILLER_9_7,VGND,li1,11.5000,38.0800,0.000008
FILLER_8_78,VGND,li1,42.0900,32.6400,0.000015
FILLER_8_66,VGND,li1,38.6400,32.6400,0.000013
FILLER_8_54,VGND,li1,33.1200,32.6400,0.000011
FILLER_8_41,VGND,li1,25.7600,32.6400,0.000007
FILLER_8_29,VGND,li1,21.6200,32.6400,0.000008
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000008
FILLER_8_15,VGND,li1,15.1800,32.6400,0.000009
FILLER_8_7,VGND,li1,8.9700,32.6400,0.000009
FILLER_8_3,VGND,li1,7.8200,32.6400,0.000009
FILLER_7_76,VGND,li1,40.7100,32.6400,0.000014
FILLER_7_72,VGND,li1,39.5600,32.6400,0.000014
FILLER_7_55,VGND,li1,31.0500,32.6400,0.000010
FILLER_7_34,VGND,li1,21.6200,32.6400,0.000008
FILLER_7_26,VGND,li1,19.3200,32.6400,0.000008
FILLER_7_7,VGND,li1,9.6600,32.6400,0.000009
FILLER_6_76,VGND,li1,40.7100,27.2000,0.000013
FILLER_6_70,VGND,li1,39.1000,27.2000,0.000013
FILLER_6_55,VGND,li1,33.5800,27.2000,0.000011
FILLER_6_46,VGND,li1,26.9100,27.2000,0.000008
FILLER_6_41,VGND,li1,24.6100,27.2000,0.000007
FILLER_6_29,VGND,li1,21.6200,27.2000,0.000008
FILLER_6_27,VGND,li1,18.1700,27.2000,0.000009
FILLER_6_21,VGND,li1,16.5600,27.2000,0.000009
FILLER_6_7,VGND,li1,8.9700,27.2000,0.000010
FILLER_5_78,VGND,li1,42.0900,27.2000,0.000014
FILLER_5_70,VGND,li1,39.5600,27.2000,0.000013
FILLER_5_57,VGND,li1,32.6600,27.2000,0.000010
FILLER_5_44,VGND,li1,28.5200,27.2000,0.000008
FILLER_5_32,VGND,li1,23.0000,27.2000,0.000008
FILLER_5_20,VGND,li1,17.4800,27.2000,0.000009
FILLER_5_11,VGND,li1,10.8100,27.2000,0.000010
FILLER_5_7,VGND,li1,9.6600,27.2000,0.000010
FILLER_4_77,VGND,li1,41.8600,21.7600,0.000004
FILLER_4_65,VGND,li1,38.1800,21.7600,0.000004
FILLER_4_46,VGND,li1,27.3700,21.7600,0.000004
FILLER_4_37,VGND,li1,23.0000,21.7600,0.000004
FILLER_4_33,VGND,li1,20.9300,21.7600,0.000005
FILLER_4_29,VGND,li1,19.7800,21.7600,0.000005
FILLER_4_26,VGND,li1,17.9400,21.7600,0.000005
FILLER_4_18,VGND,li1,15.6400,21.7600,0.000005
FILLER_4_6,VGND,li1,11.0400,21.7600,0.000006
FILLER_3_69,VGND,li1,40.0200,21.7600,0.000004
FILLER_3_57,VGND,li1,34.5000,21.7600,0.000004
FILLER_3_53,VGND,li1,30.5900,21.7600,0.000004
FILLER_3_45,VGND,li1,28.0600,21.7600,0.000004
FILLER_3_33,VGND,li1,23.4600,21.7600,0.000004
FILLER_3_3,VGND,li1,9.6600,21.7600,0.000006
FILLER_2_76,VGND,li1,40.7100,16.3200,0.000012
FILLER_2_70,VGND,li1,39.1000,16.3200,0.000012
FILLER_2_65,VGND,li1,35.8800,16.3200,0.000011
FILLER_2_58,VGND,li1,32.8900,16.3200,0.000010
FILLER_2_49,VGND,li1,28.2900,16.3200,0.000009
FILLER_2_25,VGND,li1,17.7100,16.3200,0.000009
