Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VGND,li1,40.0200,38.0800,0.000006
FILLER_9_57,VGND,li1,34.5000,38.0800,0.000006
FILLER_9_49,VGND,li1,28.7500,38.0800,0.000006
FILLER_9_41,VGND,li1,26.2200,38.0800,0.000005
FILLER_9_29,VGND,li1,21.6200,38.0800,0.000005
FILLER_9_27,VGND,li1,18.1700,38.0800,0.000006
FILLER_9_19,VGND,li1,16.1000,38.0800,0.000006
FILLER_9_7,VGND,li1,11.5000,38.0800,0.000007
FILLER_8_77,VGND,li1,41.8600,32.6400,0.000017
FILLER_8_65,VGND,li1,38.1800,32.6400,0.000016
FILLER_8_53,VGND,li1,32.6600,32.6400,0.000013
FILLER_8_44,VGND,li1,25.9900,32.6400,0.000010
FILLER_8_36,VGND,li1,23.9200,32.6400,0.000009
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000010
FILLER_8_15,VGND,li1,15.1800,32.6400,0.000010
FILLER_8_7,VGND,li1,8.9700,32.6400,0.000010
FILLER_8_3,VGND,li1,7.8200,32.6400,0.000010
FILLER_7_69,VGND,li1,39.1000,32.6400,0.000016
FILLER_7_63,VGND,li1,34.7300,32.6400,0.000014
FILLER_7_57,VGND,li1,33.1200,32.6400,0.000013
FILLER_7_54,VGND,li1,30.8200,32.6400,0.000012
FILLER_7_41,VGND,li1,25.0700,32.6400,0.000009
FILLER_7_26,VGND,li1,17.7100,32.6400,0.000010
FILLER_7_22,VGND,li1,16.5600,32.6400,0.000010
FILLER_7_3,VGND,li1,7.3600,32.6400,0.000010
FILLER_6_80,VGND,li1,42.5500,27.2000,0.000014
FILLER_6_68,VGND,li1,39.5600,27.2000,0.000014
FILLER_6_58,VGND,li1,32.6600,27.2000,0.000012
FILLER_6_50,VGND,li1,28.7500,27.2000,0.000009
FILLER_6_44,VGND,li1,27.1400,27.2000,0.000009
FILLER_6_32,VGND,li1,23.0000,27.2000,0.000009
FILLER_6_27,VGND,li1,18.1700,27.2000,0.000011
FILLER_6_21,VGND,li1,16.5600,27.2000,0.000011
FILLER_6_15,VGND,li1,12.6500,27.2000,0.000013
