Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_75,VGND,li1,41.4000,38.0800,0.000007
FILLER_9_63,VGND,li1,37.2600,38.0800,0.000007
FILLER_9_57,VGND,li1,32.2000,38.0800,0.000007
FILLER_9_51,VGND,li1,29.2100,38.0800,0.000006
FILLER_9_47,VGND,li1,28.0600,38.0800,0.000006
FILLER_9_35,VGND,li1,24.3800,38.0800,0.000005
FILLER_9_29,VGND,li1,19.3200,38.0800,0.000007
FILLER_9_27,VGND,li1,18.1700,38.0800,0.000007
FILLER_9_15,VGND,li1,15.1800,38.0800,0.000007
FILLER_9_3,VGND,li1,9.6600,38.0800,0.000007
FILLER_8_78,VGND,li1,42.0900,32.6400,0.000006
FILLER_8_70,VGND,li1,39.5600,32.6400,0.000006
FILLER_8_58,VGND,li1,34.9600,32.6400,0.000006
FILLER_8_45,VGND,li1,26.4500,32.6400,0.000006
FILLER_8_41,VGND,li1,25.3000,32.6400,0.000006
FILLER_8_29,VGND,li1,21.6200,32.6400,0.000008
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000010
FILLER_8_15,VGND,li1,12.8800,32.6400,0.000012
FILLER_8_3,VGND,li1,9.6600,32.6400,0.000013
FILLER_7_69,VGND,li1,40.0200,32.6400,0.000006
FILLER_7_57,VGND,li1,34.5000,32.6400,0.000006
FILLER_7_54,VGND,li1,30.8200,32.6400,0.000006
FILLER_7_48,VGND,li1,28.2900,32.6400,0.000006
FILLER_7_36,VGND,li1,24.8400,32.6400,0.000006
FILLER_7_27,VGND,li1,18.1700,32.6400,0.000010
FILLER_7_7,VGND,li1,10.5800,32.6400,0.000013
FILLER_6_74,VGND,li1,40.4800,27.2000,0.000006
FILLER_6_62,VGND,li1,36.8000,27.2000,0.000006
FILLER_6_46,VGND,li1,27.3700,27.2000,0.000005
FILLER_6_34,VGND,li1,23.9200,27.2000,0.000005
FILLER_6_21,VGND,li1,15.6400,27.2000,0.000006
FILLER_6_13,VGND,li1,13.3400,27.2000,0.000007
FILLER_5_76,VGND,li1,40.9400,27.2000,0.000006
FILLER_5_64,VGND,li1,37.7200,27.2000,0.000006
FILLER_5_45,VGND,li1,26.4500,27.2000,0.000005
FILLER_5_37,VGND,li1,24.3800,27.2000,0.000005
FILLER_5_25,VGND,li1,19.7800,27.2000,0.000006
FILLER_5_18,VGND,li1,14.2600,27.2000,0.000007
FILLER_5_6,VGND,li1,11.0400,27.2000,0.000007
FILLER_4_77,VGND,li1,41.1700,21.7600,0.000005
FILLER_4_69,VGND,li1,39.1000,21.7600,0.000005
FILLER_4_57,VGND,li1,34.5000,21.7600,0.000005
FILLER_4_46,VGND,li1,27.6000,21.7600,0.000004
FILLER_4_34,VGND,li1,23.9200,21.7600,0.000004
FILLER_4_22,VGND,li1,17.0200,21.7600,0.000006
FILLER_4_7,VGND,li1,11.5000,21.7600,0.000006
FILLER_3_78,VGND,li1,42.0900,21.7600,0.000005
FILLER_3_66,VGND,li1,38.6400,21.7600,0.000005
FILLER_3_54,VGND,li1,30.8200,21.7600,0.000005
FILLER_3_46,VGND,li1,28.5200,21.7600,0.000004
FILLER_3_34,VGND,li1,23.9200,21.7600,0.000004
FILLER_3_16,VGND,li1,13.1100,21.7600,0.000006
FILLER_3_11,VGND,li1,11.0400,21.7600,0.000006
FILLER_3_3,VGND,li1,8.7400,21.7600,0.000007
FILLER_2_69,VGND,li1,39.1000,16.3200,0.000013
FILLER_2_57,VGND,li1,32.2000,16.3200,0.000011
FILLER_2_49,VGND,li1,28.5200,16.3200,0.000010
FILLER_2_41,VGND,li1,26.2200,16.3200,0.000009
FILLER_2_29,VGND,li1,21.6200,16.3200,0.000008
FILLER_2_25,VGND,li1,17.7100,16.3200,0.000009
FILLER_2_15,VGND,li1,13.1100,16.3200,0.000011
FILLER_2_7,VGND,li1,10.5800,16.3200,0.000012
FILLER_1_69,VGND,li1,40.0200,16.3200,0.000013
FILLER_1_57,VGND,li1,34.5000,16.3200,0.000012
FILLER_1_55,VGND,li1,31.0500,16.3200,0.000010
FILLER_1_49,VGND,li1,29.4400,16.3200,0.000010
FILLER_1_45,VGND,li1,26.4500,16.3200,0.000009
FILLER_1_41,VGND,li1,25.3000,16.3200,0.000008
FILLER_1_27,VGND,li1,19.3200,16.3200,0.000009
FILLER_1_15,VGND,li1,15.1800,16.3200,0.000010
FILLER_1_3,VGND,li1,9.6600,16.3200,0.000012
FILLER_0_69,VGND,li1,40.0200,10.8800,0.000002
FILLER_0_57,VGND,li1,34.5000,10.8800,0.000002
FILLER_0_55,VGND,li1,31.0500,10.8800,0.000002
FILLER_0_48,VGND,li1,28.5200,10.8800,0.000002
FILLER_0_42,VGND,li1,25.5300,10.8800,0.000002
FILLER_0_34,VGND,li1,22.0800,10.8800,0.000002
FILLER_0_29,VGND,li1,19.3200,10.8800,0.000002
FILLER_0_27,VGND,li1,18.1700,10.8800,0.000002
FILLER_0_15,VGND,li1,15.1800,10.8800,0.000002
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000002
output16,VGND,li1,30.3600,38.0800,0.000007
output15,VGND,li1,33.5800,38.0800,0.000007
output14,VGND,li1,20.7000,38.0800,0.000007
output13,VGND,li1,7.8200,32.6400,0.000014
output12,VGND,li1,7.8200,16.3200,0.000012
output11,VGND,li1,41.8600,16.3200,0.000014
output10,VGND,li1,7.8200,21.7600,0.000007
output9,VGND,li1,23.9200,10.8800,0.000002
input8,VGND,li1,9.2000,27.2000,0.000007
input7,VGND,li1,42.0900,27.2000,0.000006
input6,VGND,li1,7.5900,27.2000,0.000007
input5,VGND,li1,26.9100,10.8800,0.000002
input4,VGND,li1,42.0900,27.2000,0.000006
input3,VGND,li1,30.1300,10.8800,0.000002
input2,VGND,li1,42.0900,21.7600,0.000005
input1,VGND,li1,20.4700,10.8800,0.000002
TAP_TAPCELL_ROW_9_31,VGND,li1,31.5100,37.7880,0.000007
TAP_TAPCELL_ROW_9_30,VGND,li1,18.6300,37.7880,0.000007
TAP_TAPCELL_ROW_8_29,VGND,li1,18.6300,32.9310,0.000010
TAP_TAPCELL_ROW_7_28,VGND,li1,31.5100,32.3480,0.000006
TAP_TAPCELL_ROW_6_27,VGND,li1,18.6300,27.4910,0.000006
TAP_TAPCELL_ROW_5_26,VGND,li1,31.5100,26.9080,0.000006
TAP_TAPCELL_ROW_4_25,VGND,li1,18.6300,22.0510,0.000006
TAP_TAPCELL_ROW_3_24,VGND,li1,31.5100,21.4680,0.000005
TAP_TAPCELL_ROW_2_23,VGND,li1,18.6300,16.6110,0.000009
TAP_TAPCELL_ROW_1_22,VGND,li1,31.5100,16.0280,0.000010
TAP_TAPCELL_ROW_0_21,VGND,li1,31.5100,11.1710,0.000002
TAP_TAPCELL_ROW_0_20,VGND,li1,18.6300,11.1710,0.000002
PHY_EDGE_ROW_9_Left_19,VGND,li1,6.2100,38.0800,0.000007
PHY_EDGE_ROW_8_Left_18,VGND,li1,6.2100,32.6400,0.000014
PHY_EDGE_ROW_7_Left_17,VGND,li1,6.2100,32.6400,0.000014
PHY_EDGE_ROW_6_Left_16,VGND,li1,6.2100,27.2000,0.000007
PHY_EDGE_ROW_5_Left_15,VGND,li1,6.2100,27.2000,0.000007
PHY_EDGE_ROW_4_Left_14,VGND,li1,6.2100,21.7600,0.000007
PHY_EDGE_ROW_3_Left_13,VGND,li1,6.2100,21.7600,0.000007
