Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_75,VPWR,li1,41.4000,35.3600,1.799989
FILLER_9_63,VPWR,li1,37.2600,35.3600,1.799989
FILLER_9_57,VPWR,li1,32.2000,35.3600,1.799990
FILLER_9_53,VPWR,li1,30.5900,35.3600,1.799990
FILLER_9_41,VPWR,li1,27.1400,35.3600,1.799991
FILLER_9_29,VPWR,li1,21.6200,35.3600,1.799994
FILLER_9_27,VPWR,li1,18.1700,35.3600,1.799993
FILLER_9_19,VPWR,li1,16.1000,35.3600,1.799992
FILLER_9_7,VPWR,li1,11.5000,35.3600,1.799991
FILLER_8_78,VPWR,li1,42.0900,35.3600,1.799989
FILLER_8_66,VPWR,li1,38.6400,35.3600,1.799989
FILLER_8_54,VPWR,li1,33.1200,35.3600,1.799989
FILLER_8_41,VPWR,li1,25.7600,35.3600,1.799992
FILLER_8_29,VPWR,li1,21.6200,35.3600,1.799994
FILLER_8_27,VPWR,li1,18.1700,35.3600,1.799993
FILLER_8_15,VPWR,li1,15.1800,35.3600,1.799992
FILLER_8_7,VPWR,li1,8.9700,35.3600,1.799991
FILLER_8_3,VPWR,li1,7.8200,35.3600,1.799990
FILLER_7_76,VPWR,li1,40.7100,29.9200,1.799985
FILLER_7_72,VPWR,li1,39.5600,29.9200,1.799985
FILLER_7_55,VPWR,li1,31.0500,29.9200,1.799987
FILLER_7_34,VPWR,li1,21.6200,29.9200,1.799992
FILLER_7_26,VPWR,li1,19.3200,29.9200,1.799991
FILLER_7_7,VPWR,li1,9.6600,29.9200,1.799989
FILLER_6_76,VPWR,li1,40.7100,29.9200,1.799985
FILLER_6_70,VPWR,li1,39.1000,29.9200,1.799985
FILLER_6_55,VPWR,li1,33.5800,29.9200,1.799986
FILLER_6_46,VPWR,li1,26.9100,29.9200,1.799989
FILLER_6_41,VPWR,li1,24.6100,29.9200,1.799990
FILLER_6_29,VPWR,li1,21.6200,29.9200,1.799992
FILLER_6_27,VPWR,li1,18.1700,29.9200,1.799991
FILLER_6_21,VPWR,li1,16.5600,29.9200,1.799990
FILLER_6_7,VPWR,li1,8.9700,29.9200,1.799989
FILLER_5_78,VPWR,li1,42.0900,24.4800,1.799993
FILLER_5_70,VPWR,li1,39.5600,24.4800,1.799993
FILLER_5_57,VPWR,li1,32.6600,24.4800,1.799994
FILLER_5_44,VPWR,li1,28.5200,24.4800,1.799994
FILLER_5_32,VPWR,li1,23.0000,24.4800,1.799995
FILLER_5_20,VPWR,li1,17.4800,24.4800,1.799995
FILLER_5_11,VPWR,li1,10.8100,24.4800,1.799993
FILLER_5_7,VPWR,li1,9.6600,24.4800,1.799993
FILLER_4_77,VPWR,li1,41.8600,24.4800,1.799993
FILLER_4_65,VPWR,li1,38.1800,24.4800,1.799993
FILLER_4_46,VPWR,li1,27.3700,24.4800,1.799994
FILLER_4_37,VPWR,li1,23.0000,24.4800,1.799995
FILLER_4_33,VPWR,li1,20.9300,24.4800,1.799995
FILLER_4_29,VPWR,li1,19.7800,24.4800,1.799995
FILLER_4_26,VPWR,li1,17.9400,24.4800,1.799995
FILLER_4_18,VPWR,li1,15.6400,24.4800,1.799994
FILLER_4_6,VPWR,li1,11.0400,24.4800,1.799993
FILLER_3_69,VPWR,li1,40.0200,19.0400,1.799989
FILLER_3_57,VPWR,li1,34.5000,19.0400,1.799991
FILLER_3_53,VPWR,li1,30.5900,19.0400,1.799991
FILLER_3_45,VPWR,li1,28.0600,19.0400,1.799992
FILLER_3_33,VPWR,li1,23.4600,19.0400,1.799994
FILLER_3_3,VPWR,li1,9.6600,19.0400,1.799993
FILLER_2_76,VPWR,li1,40.7100,19.0400,1.799989
FILLER_2_70,VPWR,li1,39.1000,19.0400,1.799989
FILLER_2_65,VPWR,li1,35.8800,19.0400,1.799990
FILLER_2_58,VPWR,li1,32.8900,19.0400,1.799991
FILLER_2_49,VPWR,li1,28.2900,19.0400,1.799992
FILLER_2_25,VPWR,li1,17.7100,19.0400,1.799993
FILLER_2_11,VPWR,li1,11.0400,19.0400,1.799993
FILLER_2_3,VPWR,li1,8.7400,19.0400,1.799993
FILLER_1_66,VPWR,li1,38.6400,13.6000,1.799988
FILLER_1_57,VPWR,li1,32.4300,13.6000,1.799989
FILLER_1_15,VPWR,li1,13.3400,13.6000,1.799990
FILLER_1_3,VPWR,li1,9.6600,13.6000,1.799990
FILLER_0_73,VPWR,li1,40.9400,13.6000,1.799988
FILLER_0_61,VPWR,li1,36.3400,13.6000,1.799988
FILLER_0_29,VPWR,li1,19.3200,13.6000,1.799991
FILLER_0_27,VPWR,li1,18.1700,13.6000,1.799991
FILLER_0_21,VPWR,li1,15.8700,13.6000,1.799990
FILLER_0_15,VPWR,li1,12.8800,13.6000,1.799990
FILLER_0_3,VPWR,li1,9.6600,13.6000,1.799990
mult4_SarsaNStepsRuido_e9_SARSA_RUIDO_e9_SARSA_RUIDO_e9_SARSA_RUIDO_e9_16,VPWR,li1,42.0900,13.6000,1.799988
output15,VPWR,li1,7.8200,29.9200,1.799989
output14,VPWR,li1,7.8200,35.3600,1.799990
output13,VPWR,li1,33.5800,35.3600,1.799989
output12,VPWR,li1,41.8600,29.9200,1.799984
output11,VPWR,li1,41.8600,29.9200,1.799984
output10,VPWR,li1,41.8600,19.0400,1.799988
output9,VPWR,li1,27.1400,13.6000,1.799990
input8,VPWR,li1,7.8200,24.4800,1.799993
input7,VPWR,li1,17.2500,13.6000,1.799991
input6,VPWR,li1,14.2600,13.6000,1.799990
input5,VPWR,li1,28.7500,13.6000,1.799989
input4,VPWR,li1,7.5900,24.4800,1.799993
input3,VPWR,li1,7.8200,29.9200,1.799989
input2,VPWR,li1,22.0800,13.6000,1.799992
input1,VPWR,li1,30.3600,13.6000,1.799989
TAP_TAPCELL_ROW_9_31,VPWR,li1,31.5100,35.6660,1.799990
TAP_TAPCELL_ROW_9_30,VPWR,li1,18.6300,35.6660,1.799993
TAP_TAPCELL_ROW_8_29,VPWR,li1,18.6300,35.0530,1.799993
TAP_TAPCELL_ROW_7_28,VPWR,li1,31.5100,30.2260,1.799987
TAP_TAPCELL_ROW_6_27,VPWR,li1,18.6300,29.6130,1.799991
TAP_TAPCELL_ROW_5_26,VPWR,li1,31.5100,24.7860,1.799994
TAP_TAPCELL_ROW_4_25,VPWR,li1,18.6300,24.1730,1.799995
TAP_TAPCELL_ROW_3_24,VPWR,li1,31.5100,19.3460,1.799991
TAP_TAPCELL_ROW_2_23,VPWR,li1,18.6300,18.7330,1.799993
TAP_TAPCELL_ROW_1_22,VPWR,li1,31.5100,13.9060,1.799989
TAP_TAPCELL_ROW_0_21,VPWR,li1,31.5100,13.2930,1.799989
TAP_TAPCELL_ROW_0_20,VPWR,li1,18.6300,13.2930,1.799991
PHY_EDGE_ROW_9_Left_19,VPWR,li1,6.2100,35.3600,1.799990
PHY_EDGE_ROW_8_Left_18,VPWR,li1,6.2100,35.3600,1.799990
PHY_EDGE_ROW_7_Left_17,VPWR,li1,6.2100,29.9200,1.799989
PHY_EDGE_ROW_6_Left_16,VPWR,li1,6.2100,29.9200,1.799989
PHY_EDGE_ROW_5_Left_15,VPWR,li1,6.2100,24.4800,1.799993
