Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VPWR,li1,40.0200,35.3600,1.799990
FILLER_9_57,VPWR,li1,34.5000,35.3600,1.799990
FILLER_9_49,VPWR,li1,28.7500,35.3600,1.799991
FILLER_9_41,VPWR,li1,26.2200,35.3600,1.799991
FILLER_9_29,VPWR,li1,21.6200,35.3600,1.799993
FILLER_9_27,VPWR,li1,18.1700,35.3600,1.799993
FILLER_9_19,VPWR,li1,16.1000,35.3600,1.799992
FILLER_9_7,VPWR,li1,11.5000,35.3600,1.799991
FILLER_8_77,VPWR,li1,41.8600,35.3600,1.799990
FILLER_8_65,VPWR,li1,38.1800,35.3600,1.799990
FILLER_8_53,VPWR,li1,32.6600,35.3600,1.799990
FILLER_8_44,VPWR,li1,25.9900,35.3600,1.799991
FILLER_8_36,VPWR,li1,23.9200,35.3600,1.799992
FILLER_8_27,VPWR,li1,18.1700,35.3600,1.799993
FILLER_8_15,VPWR,li1,15.1800,35.3600,1.799992
FILLER_8_7,VPWR,li1,8.9700,35.3600,1.799991
FILLER_8_3,VPWR,li1,7.8200,35.3600,1.799991
FILLER_7_69,VPWR,li1,39.1000,29.9200,1.799980
FILLER_7_63,VPWR,li1,34.7300,29.9200,1.799982
FILLER_7_57,VPWR,li1,33.1200,29.9200,1.799983
FILLER_7_54,VPWR,li1,30.8200,29.9200,1.799984
FILLER_7_41,VPWR,li1,25.0700,29.9200,1.799989
FILLER_7_26,VPWR,li1,17.7100,29.9200,1.799989
FILLER_7_22,VPWR,li1,16.5600,29.9200,1.799989
FILLER_7_3,VPWR,li1,7.3600,29.9200,1.799988
FILLER_6_80,VPWR,li1,42.5500,29.9200,1.799979
FILLER_6_68,VPWR,li1,39.5600,29.9200,1.799980
FILLER_6_58,VPWR,li1,32.6600,29.9200,1.799983
FILLER_6_50,VPWR,li1,28.7500,29.9200,1.799986
FILLER_6_44,VPWR,li1,27.1400,29.9200,1.799987
FILLER_6_32,VPWR,li1,23.0000,29.9200,1.799990
FILLER_6_27,VPWR,li1,18.1700,29.9200,1.799989
FILLER_6_21,VPWR,li1,16.5600,29.9200,1.799989
FILLER_6_15,VPWR,li1,12.6500,29.9200,1.799989
FILLER_6_10,VPWR,li1,10.5800,29.9200,1.799988
FILLER_5_76,VPWR,li1,40.7100,24.4800,1.799985
FILLER_5_70,VPWR,li1,39.1000,24.4800,1.799985
FILLER_5_65,VPWR,li1,35.8800,24.4800,1.799986
FILLER_5_57,VPWR,li1,33.5800,24.4800,1.799987
FILLER_5_55,VPWR,li1,31.0500,24.4800,1.799988
FILLER_5_51,VPWR,li1,29.9000,24.4800,1.799989
FILLER_5_39,VPWR,li1,26.2200,24.4800,1.799990
FILLER_5_27,VPWR,li1,20.7000,24.4800,1.799992
FILLER_5_13,VPWR,li1,11.7300,24.4800,1.799989
FILLER_4_80,VPWR,li1,42.5500,24.4800,1.799985
FILLER_4_72,VPWR,li1,40.4800,24.4800,1.799985
FILLER_4_49,VPWR,li1,28.2900,24.4800,1.799989
FILLER_4_41,VPWR,li1,26.2200,24.4800,1.799990
FILLER_4_29,VPWR,li1,21.6200,24.4800,1.799992
FILLER_4_10,VPWR,li1,10.3500,24.4800,1.799988
FILLER_4_6,VPWR,li1,9.2000,24.4800,1.799988
FILLER_3_77,VPWR,li1,41.8600,19.0400,1.799989
FILLER_3_65,VPWR,li1,38.1800,19.0400,1.799990
FILLER_3_60,VPWR,li1,33.3500,19.0400,1.799991
FILLER_3_54,VPWR,li1,30.8200,19.0400,1.799992
FILLER_3_46,VPWR,li1,28.5200,19.0400,1.799993
FILLER_3_34,VPWR,li1,23.9200,19.0400,1.799994
FILLER_3_11,VPWR,li1,11.0400,19.0400,1.799993
FILLER_3_3,VPWR,li1,8.7400,19.0400,1.799993
FILLER_2_69,VPWR,li1,39.1000,19.0400,1.799990
FILLER_2_63,VPWR,li1,35.1900,19.0400,1.799991
FILLER_2_55,VPWR,li1,32.6600,19.0400,1.799991
FILLER_2_43,VPWR,li1,28.0600,19.0400,1.799993
FILLER_2_29,VPWR,li1,19.5500,19.0400,1.799994
FILLER_2_13,VPWR,li1,14.2600,19.0400,1.799993
FILLER_1_78,VPWR,li1,42.0900,13.6000,1.799989
FILLER_1_66,VPWR,li1,38.6400,13.6000,1.799989
FILLER_1_50,VPWR,li1,29.9000,13.6000,1.799989
FILLER_1_15,VPWR,li1,13.1100,13.6000,1.799990
FILLER_1_3,VPWR,li1,9.6600,13.6000,1.799990
FILLER_0_69,VPWR,li1,40.0200,13.6000,1.799989
FILLER_0_57,VPWR,li1,34.5000,13.6000,1.799989
FILLER_0_44,VPWR,li1,25.9900,13.6000,1.799990
FILLER_0_21,VPWR,li1,15.6400,13.6000,1.799991
FILLER_0_11,VPWR,li1,11.2700,13.6000,1.799990
FILLER_0_3,VPWR,li1,8.7400,13.6000,1.799990
