Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_75,VPWR,li1,40.4800,35.3600,1.799967
FILLER_9_67,VPWR,li1,38.1800,35.3600,1.799968
FILLER_9_48,VPWR,li1,29.4400,35.3600,1.799976
FILLER_9_36,VPWR,li1,24.8400,35.3600,1.799980
FILLER_9_15,VPWR,li1,13.8000,35.3600,1.799984
FILLER_9_3,VPWR,li1,9.6600,35.3600,1.799984
FILLER_8_73,VPWR,li1,40.9400,35.3600,1.799967
FILLER_8_48,VPWR,li1,28.5200,35.3600,1.799976
FILLER_8_29,VPWR,li1,20.2400,35.3600,1.799985
FILLER_8_20,VPWR,li1,15.6400,35.3600,1.799984
FILLER_8_3,VPWR,li1,8.2800,35.3600,1.799984
FILLER_7_75,VPWR,li1,41.4000,29.9200,1.799990
FILLER_7_65,VPWR,li1,36.1100,29.9200,1.799990
FILLER_7_57,VPWR,li1,32.4300,29.9200,1.799991
FILLER_7_52,VPWR,li1,30.3600,29.9200,1.799991
FILLER_7_40,VPWR,li1,26.6800,29.9200,1.799992
FILLER_7_28,VPWR,li1,21.1600,29.9200,1.799993
FILLER_7_16,VPWR,li1,15.6400,29.9200,1.799993
FILLER_6_80,VPWR,li1,42.5500,29.9200,1.799990
FILLER_6_74,VPWR,li1,40.9400,29.9200,1.799990
FILLER_6_64,VPWR,li1,35.6500,29.9200,1.799991
FILLER_6_52,VPWR,li1,32.2000,29.9200,1.799991
FILLER_6_37,VPWR,li1,23.2300,29.9200,1.799994
FILLER_6_27,VPWR,li1,18.1700,29.9200,1.799993
FILLER_5_76,VPWR,li1,40.7100,24.4800,1.799973
FILLER_5_65,VPWR,li1,36.3400,24.4800,1.799976
FILLER_5_57,VPWR,li1,31.9700,24.4800,1.799980
FILLER_5_53,VPWR,li1,30.5900,24.4800,1.799980
FILLER_5_45,VPWR,li1,28.0600,24.4800,1.799983
FILLER_5_37,VPWR,li1,22.7700,24.4800,1.799986
FILLER_5_28,VPWR,li1,18.6300,24.4800,1.799988
FILLER_5_24,VPWR,li1,16.7900,24.4800,1.799987
FILLER_5_18,VPWR,li1,15.1800,24.4800,1.799987
FILLER_4_76,VPWR,li1,40.7100,24.4800,1.799973
FILLER_4_70,VPWR,li1,39.1000,24.4800,1.799974
FILLER_4_65,VPWR,li1,35.8800,24.4800,1.799976
FILLER_4_53,VPWR,li1,32.6600,24.4800,1.799978
FILLER_4_41,VPWR,li1,27.1400,24.4800,1.799983
FILLER_4_34,VPWR,li1,21.6200,24.4800,1.799989
FILLER_4_29,VPWR,li1,19.3200,24.4800,1.799988
