Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_75,VPWR,li1,40.4800,35.3600,1.799982
FILLER_9_67,VPWR,li1,38.1800,35.3600,1.799982
FILLER_9_55,VPWR,li1,31.0500,35.3600,1.799986
FILLER_9_29,VPWR,li1,19.0900,35.3600,1.799992
FILLER_9_27,VPWR,li1,18.1700,35.3600,1.799992
FILLER_9_15,VPWR,li1,15.1800,35.3600,1.799992
FILLER_9_3,VPWR,li1,9.6600,35.3600,1.799992
FILLER_8_79,VPWR,li1,42.3200,35.3600,1.799981
FILLER_8_71,VPWR,li1,40.0200,35.3600,1.799982
FILLER_8_52,VPWR,li1,32.2000,35.3600,1.799986
FILLER_8_40,VPWR,li1,26.6800,35.3600,1.799989
FILLER_8_29,VPWR,li1,19.3200,35.3600,1.799992
FILLER_8_20,VPWR,li1,16.5600,35.3600,1.799992
FILLER_8_3,VPWR,li1,9.6600,35.3600,1.799992
FILLER_7_74,VPWR,li1,40.2500,29.9200,1.799976
FILLER_7_66,VPWR,li1,36.1100,29.9200,1.799978
FILLER_7_57,VPWR,li1,31.9700,29.9200,1.799981
FILLER_7_55,VPWR,li1,31.0500,29.9200,1.799981
FILLER_7_44,VPWR,li1,25.9900,29.9200,1.799986
FILLER_7_27,VPWR,li1,18.6300,29.9200,1.799988
FILLER_7_18,VPWR,li1,14.0300,29.9200,1.799987
FILLER_7_12,VPWR,li1,12.4200,29.9200,1.799987
FILLER_7_6,VPWR,li1,8.5100,29.9200,1.799986
FILLER_6_75,VPWR,li1,41.4000,29.9200,1.799976
FILLER_6_63,VPWR,li1,37.2600,29.9200,1.799978
FILLER_6_51,VPWR,li1,31.7400,29.9200,1.799981
FILLER_6_39,VPWR,li1,26.2200,29.9200,1.799986
FILLER_6_35,VPWR,li1,21.8500,29.9200,1.799989
FILLER_6_29,VPWR,li1,19.5500,29.9200,1.799988
FILLER_6_26,VPWR,li1,17.9400,29.9200,1.799988
FILLER_6_20,VPWR,li1,14.9500,29.9200,1.799987
FILLER_6_12,VPWR,li1,12.8800,29.9200,1.799987
FILLER_6_3,VPWR,li1,7.1300,29.9200,1.799986
FILLER_5_63,VPWR,li1,35.1900,24.4800,1.799979
FILLER_5_53,VPWR,li1,30.5900,24.4800,1.799982
FILLER_5_29,VPWR,li1,19.7800,24.4800,1.799989
FILLER_5_6,VPWR,li1,8.7400,24.4800,1.799988
