net,length_um
net8,53.24µm
net4,52.98µm
net7,45.44µm
net3,40.1µm
net2,37.9µm
net1,31.74µm
_008_,27.385µm
net6,26.32µm
net5,23.72µm
_025_,21.5µm
_011_,19.72µm
_007_,19.7µm
_005_,19.32µm
_009_,18.48µm
_048_,18µm
_043_,17.52µm
_016_,17.24µm
_012_,15.4µm
_002_,14.8µm
_031_,14.56µm
_020_,13.38µm
_033_,12.3µm
_017_,12µm
_040_,11.94µm
_027_,11.66µm
_049_,10.46µm
P[3],10.32µm
A[2],9.64µm
_026_,9.26µm
_013_,8.94µm
A[3],8.84µm
B[2],8.84µm
_050_,8.56µm
_036_,8.5µm
_010_,7.66µm
_042_,7.52µm
_037_,7.32µm
_052_,7.18µm
_000_,7.06µm
_015_,6.98µm
_022_,6.64µm
_046_,6.64µm
net16,6.45µm
A[1],6.09µm
P[2],5.75µm
P[4],5.75µm
P[7],5.75µm
B[0],5.41µm
_038_,5.26µm
P[1],5.07µm
P[6],5.07µm
_018_,5.02µm
_021_,4.94µm
_028_,4.82µm
A[0],4.61µm
B[1],4.61µm
_039_,4.48µm
P[5],4.39µm
net12,4.34µm
_041_,4.14µm
_019_,4µm
B[3],3.93µm
_004_,3.88µm
_001_,3.54µm
_030_,3.42µm
net10,3.42µm
_045_,3.22µm
net11,2.98µm
_029_,2.65µm
_006_,2.62µm
_024_,2.62µm
_044_,2.5µm
_051_,2.5µm
net9,2.5µm
net14,2.5µm
net15,2.16µm
_047_,2.06µm
net13,2.06µm
_014_,1.84µm
_035_,1.84µm
_034_,1.7µm
_003_,1.26µm
_032_,0.92µm
_023_,0.8µm
