Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_75,VPWR,li1,40.4800,35.3600,1.799963
FILLER_9_67,VPWR,li1,38.1800,35.3600,1.799964
FILLER_9_53,VPWR,li1,30.5900,35.3600,1.799971
FILLER_9_41,VPWR,li1,27.1400,35.3600,1.799975
FILLER_9_29,VPWR,li1,21.6200,35.3600,1.799984
FILLER_9_23,VPWR,li1,16.3300,35.3600,1.799982
FILLER_9_15,VPWR,li1,14.2600,35.3600,1.799982
FILLER_9_3,VPWR,li1,9.6600,35.3600,1.799982
FILLER_8_80,VPWR,li1,42.5500,35.3600,1.799963
FILLER_8_76,VPWR,li1,41.4000,35.3600,1.799963
FILLER_8_68,VPWR,li1,37.0300,35.3600,1.799966
FILLER_8_62,VPWR,li1,34.2700,35.3600,1.799968
FILLER_8_36,VPWR,li1,22.3100,35.3600,1.799981
FILLER_8_19,VPWR,li1,14.7200,35.3600,1.799982
FILLER_8_7,VPWR,li1,8.9700,35.3600,1.799982
FILLER_8_3,VPWR,li1,7.8200,35.3600,1.799982
FILLER_7_69,VPWR,li1,40.0200,29.9200,1.799985
FILLER_7_57,VPWR,li1,34.5000,29.9200,1.799986
FILLER_7_44,VPWR,li1,28.5200,29.9200,1.799988
FILLER_7_39,VPWR,li1,23.6900,29.9200,1.799991
FILLER_7_27,VPWR,li1,20.7000,29.9200,1.799992
FILLER_7_15,VPWR,li1,15.1800,29.9200,1.799992
FILLER_7_3,VPWR,li1,9.6600,29.9200,1.799991
FILLER_6_80,VPWR,li1,42.5500,29.9200,1.799985
FILLER_6_65,VPWR,li1,35.6500,29.9200,1.799986
FILLER_6_25,VPWR,li1,17.7100,29.9200,1.799992
FILLER_5_69,VPWR,li1,37.4900,24.4800,1.799965
FILLER_5_57,VPWR,li1,34.5000,24.4800,1.799968
FILLER_5_48,VPWR,li1,29.4400,24.4800,1.799976
FILLER_5_36,VPWR,li1,24.8400,24.4800,1.799979
FILLER_5_32,VPWR,li1,20.4700,24.4800,1.799985
FILLER_5_24,VPWR,li1,18.4000,24.4800,1.799984
FILLER_5_9,VPWR,li1,12.4200,24.4800,1.799983
FILLER_4_70,VPWR,li1,37.9500,24.4800,1.799965
FILLER_4_62,VPWR,li1,35.8800,24.4800,1.799968
FILLER_4_48,VPWR,li1,27.8300,24.4800,1.799976
FILLER_4_40,VPWR,li1,25.7600,24.4800,1.799979
FILLER_4_29,VPWR,li1,19.5500,24.4800,1.799984
FILLER_4_24,VPWR,li1,17.4800,24.4800,1.799984
FILLER_4_12,VPWR,li1,13.8000,24.4800,1.799983
FILLER_3_80,VPWR,li1,42.5500,19.0400,1.799992
FILLER_3_74,VPWR,li1,40.9400,19.0400,1.799992
FILLER_3_62,VPWR,li1,36.8000,19.0400,1.799992
FILLER_3_55,VPWR,li1,31.0500,19.0400,1.799993
FILLER_3_47,VPWR,li1,28.9800,19.0400,1.799993
FILLER_3_27,VPWR,li1,18.1700,19.0400,1.799994
FILLER_3_21,VPWR,li1,16.5600,19.0400,1.799994
FILLER_3_3,VPWR,li1,7.3600,19.0400,1.799993
FILLER_2_80,VPWR,li1,42.5500,19.0400,1.799992
FILLER_2_67,VPWR,li1,36.5700,19.0400,1.799992
FILLER_2_60,VPWR,li1,34.0400,19.0400,1.799992
FILLER_2_46,VPWR,li1,27.3700,19.0400,1.799993
FILLER_2_38,VPWR,li1,24.8400,19.0400,1.799994
FILLER_2_34,VPWR,li1,21.3900,19.0400,1.799995
FILLER_2_25,VPWR,li1,17.7100,19.0400,1.799994
FILLER_2_13,VPWR,li1,14.2600,19.0400,1.799994
FILLER_1_76,VPWR,li1,40.7100,13.6000,1.799984
FILLER_1_64,VPWR,li1,37.7200,13.6000,1.799985
FILLER_1_54,VPWR,li1,30.8200,13.6000,1.799986
FILLER_1_46,VPWR,li1,28.5200,13.6000,1.799987
FILLER_1_34,VPWR,li1,21.3900,13.6000,1.799991
FILLER_1_3,VPWR,li1,7.5900,13.6000,1.799988
FILLER_0_80,VPWR,li1,42.5500,13.6000,1.799984
FILLER_0_74,VPWR,li1,40.9400,13.6000,1.799984
FILLER_0_62,VPWR,li1,36.8000,13.6000,1.799985
