Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VPWR,li1,39.1000,35.3600,1.799975
FILLER_9_57,VPWR,li1,34.5000,35.3600,1.799978
FILLER_9_54,VPWR,li1,30.8200,35.3600,1.799980
FILLER_9_42,VPWR,li1,27.6000,35.3600,1.799982
FILLER_9_36,VPWR,li1,22.5400,35.3600,1.799985
FILLER_9_27,VPWR,li1,18.1700,35.3600,1.799986
FILLER_9_19,VPWR,li1,16.1000,35.3600,1.799986
FILLER_9_7,VPWR,li1,11.5000,35.3600,1.799985
FILLER_8_77,VPWR,li1,41.8600,35.3600,1.799973
FILLER_8_65,VPWR,li1,38.1800,35.3600,1.799975
FILLER_8_53,VPWR,li1,32.6600,35.3600,1.799979
FILLER_8_41,VPWR,li1,27.1400,35.3600,1.799982
FILLER_8_29,VPWR,li1,19.0900,35.3600,1.799986
FILLER_8_16,VPWR,li1,13.3400,35.3600,1.799985
FILLER_8_3,VPWR,li1,8.2800,35.3600,1.799985
FILLER_7_80,VPWR,li1,42.5500,29.9200,1.799973
FILLER_7_74,VPWR,li1,40.9400,29.9200,1.799973
FILLER_7_57,VPWR,li1,32.6600,29.9200,1.799978
FILLER_7_55,VPWR,li1,31.0500,29.9200,1.799978
FILLER_7_31,VPWR,li1,22.5400,29.9200,1.799986
FILLER_7_19,VPWR,li1,17.0200,29.9200,1.799985
FILLER_7_15,VPWR,li1,12.6500,29.9200,1.799984
FILLER_7_7,VPWR,li1,10.5800,29.9200,1.799983
FILLER_6_79,VPWR,li1,42.3200,29.9200,1.799973
FILLER_6_68,VPWR,li1,37.2600,29.9200,1.799973
FILLER_6_60,VPWR,li1,34.9600,29.9200,1.799975
FILLER_6_52,VPWR,li1,29.6700,29.9200,1.799980
FILLER_6_48,VPWR,li1,28.5200,29.9200,1.799980
FILLER_6_40,VPWR,li1,24.1500,29.9200,1.799984
FILLER_6_34,VPWR,li1,22.5400,29.9200,1.799986
FILLER_6_18,VPWR,li1,14.4900,29.9200,1.799984
FILLER_5_79,VPWR,li1,42.3200,24.4800,1.799984
FILLER_5_69,VPWR,li1,37.4900,24.4800,1.799986
FILLER_5_57,VPWR,li1,34.5000,24.4800,1.799987
FILLER_5_55,VPWR,li1,31.0500,24.4800,1.799989
FILLER_5_51,VPWR,li1,29.9000,24.4800,1.799989
FILLER_5_40,VPWR,li1,24.1500,24.4800,1.799992
FILLER_5_34,VPWR,li1,22.5400,24.4800,1.799992
FILLER_5_19,VPWR,li1,17.0200,24.4800,1.799993
FILLER_5_7,VPWR,li1,8.9700,24.4800,1.799992
FILLER_4_65,VPWR,li1,38.1800,24.4800,1.799986
FILLER_4_53,VPWR,li1,32.6600,24.4800,1.799988
FILLER_4_41,VPWR,li1,27.1400,24.4800,1.799990
FILLER_4_29,VPWR,li1,21.6200,24.4800,1.799993
FILLER_4_27,VPWR,li1,18.1700,24.4800,1.799993
FILLER_4_19,VPWR,li1,16.1000,24.4800,1.799993
FILLER_4_7,VPWR,li1,11.5000,24.4800,1.799992
FILLER_3_79,VPWR,li1,42.3200,19.0400,1.799991
FILLER_3_36,VPWR,li1,22.5400,19.0400,1.799995
FILLER_3_28,VPWR,li1,19.0900,19.0400,1.799995
FILLER_3_3,VPWR,li1,8.2800,19.0400,1.799995
FILLER_2_79,VPWR,li1,42.3200,19.0400,1.799991
FILLER_2_61,VPWR,li1,36.3400,19.0400,1.799992
FILLER_2_49,VPWR,li1,30.8200,19.0400,1.799993
FILLER_2_38,VPWR,li1,23.9200,19.0400,1.799994
FILLER_2_23,VPWR,li1,16.5600,19.0400,1.799995
FILLER_2_11,VPWR,li1,13.3400,19.0400,1.799995
FILLER_2_7,VPWR,li1,8.9700,19.0400,1.799995
FILLER_2_3,VPWR,li1,7.8200,19.0400,1.799995
FILLER_1_75,VPWR,li1,41.4000,13.6000,1.799983
FILLER_1_61,VPWR,li1,33.8100,13.6000,1.799984
FILLER_1_57,VPWR,li1,32.6600,13.6000,1.799985
FILLER_1_55,VPWR,li1,31.0500,13.6000,1.799985
FILLER_1_51,VPWR,li1,29.9000,13.6000,1.799986
FILLER_1_42,VPWR,li1,25.0700,13.6000,1.799988
FILLER_1_34,VPWR,li1,23.0000,13.6000,1.799989
FILLER_1_29,VPWR,li1,19.3200,13.6000,1.799990
FILLER_1_22,VPWR,li1,16.1000,13.6000,1.799989
FILLER_1_11,VPWR,li1,11.0400,13.6000,1.799989
FILLER_1_3,VPWR,li1,8.7400,13.6000,1.799989
FILLER_0_80,VPWR,li1,42.5500,13.6000,1.799983
FILLER_0_76,VPWR,li1,41.4000,13.6000,1.799983
FILLER_0_55,VPWR,li1,31.0500,13.6000,1.799985
FILLER_0_33,VPWR,li1,20.9300,13.6000,1.799990
FILLER_0_27,VPWR,li1,18.1700,13.6000,1.799990
FILLER_0_15,VPWR,li1,12.6500,13.6000,1.799989
FILLER_0_3,VPWR,li1,9.6600,13.6000,1.799989
output16,VPWR,li1,7.8200,35.3600,1.799984
output15,VPWR,li1,23.9200,35.3600,1.799985
output14,VPWR,li1,41.8600,35.3600,1.799973
output13,VPWR,li1,38.6400,29.9200,1.799973
output12,VPWR,li1,41.8600,24.4800,1.799984
output11,VPWR,li1,19.7800,13.6000,1.799990
output10,VPWR,li1,39.5600,13.6000,1.799983
output9,VPWR,li1,23.9200,13.6000,1.799989
input8,VPWR,li1,7.8200,29.9200,1.799983
input7,VPWR,li1,22.0800,13.6000,1.799990
input6,VPWR,li1,7.8200,24.4800,1.799992
input5,VPWR,li1,34.0400,13.6000,1.799984
input4,VPWR,li1,7.5900,29.9200,1.799983
input3,VPWR,li1,7.8200,24.4800,1.799992
input2,VPWR,li1,13.5700,13.6000,1.799989
input1,VPWR,li1,20.4700,13.6000,1.799990
TAP_TAPCELL_ROW_9_31,VPWR,li1,31.5100,35.6660,1.799980
TAP_TAPCELL_ROW_9_30,VPWR,li1,18.6300,35.6660,1.799986
TAP_TAPCELL_ROW_8_29,VPWR,li1,18.6300,35.0530,1.799986
TAP_TAPCELL_ROW_7_28,VPWR,li1,31.5100,30.2260,1.799978
TAP_TAPCELL_ROW_6_27,VPWR,li1,18.6300,29.6130,1.799985
TAP_TAPCELL_ROW_5_26,VPWR,li1,31.5100,24.7860,1.799989
TAP_TAPCELL_ROW_4_25,VPWR,li1,18.6300,24.1730,1.799993
TAP_TAPCELL_ROW_3_24,VPWR,li1,31.5100,19.3460,1.799992
TAP_TAPCELL_ROW_2_23,VPWR,li1,18.6300,18.7330,1.799995
TAP_TAPCELL_ROW_1_22,VPWR,li1,31.5100,13.9060,1.799985
TAP_TAPCELL_ROW_0_21,VPWR,li1,31.5100,13.2930,1.799985
TAP_TAPCELL_ROW_0_20,VPWR,li1,18.6300,13.2930,1.799990
PHY_EDGE_ROW_9_Left_19,VPWR,li1,6.2100,35.3600,1.799984
PHY_EDGE_ROW_8_Left_18,VPWR,li1,6.2100,35.3600,1.799984
PHY_EDGE_ROW_7_Left_17,VPWR,li1,6.2100,29.9200,1.799983
PHY_EDGE_ROW_6_Left_16,VPWR,li1,6.2100,29.9200,1.799983
PHY_EDGE_ROW_5_Left_15,VPWR,li1,6.2100,24.4800,1.799992
PHY_EDGE_ROW_4_Left_14,VPWR,li1,6.2100,24.4800,1.799992
PHY_EDGE_ROW_3_Left_13,VPWR,li1,6.2100,19.0400,1.799995
PHY_EDGE_ROW_2_Left_12,VPWR,li1,6.2100,19.0400,1.799995
PHY_EDGE_ROW_1_Left_11,VPWR,li1,6.2100,13.6000,1.799989
PHY_EDGE_ROW_0_Left_10,VPWR,li1,6.2100,13.6000,1.799989
PHY_EDGE_ROW_9_Right_9,VPWR,li1,43.4700,35.3600,1.799973
PHY_EDGE_ROW_8_Right_8,VPWR,li1,43.4700,35.3600,1.799973
PHY_EDGE_ROW_7_Right_7,VPWR,li1,43.4700,29.9200,1.799973
PHY_EDGE_ROW_6_Right_6,VPWR,li1,43.4700,29.9200,1.799973
PHY_EDGE_ROW_5_Right_5,VPWR,li1,43.4700,24.4800,1.799984
PHY_EDGE_ROW_4_Right_4,VPWR,li1,43.4700,24.4800,1.799984
PHY_EDGE_ROW_3_Right_3,VPWR,li1,43.4700,19.0400,1.799991
PHY_EDGE_ROW_2_Right_2,VPWR,li1,43.4700,19.0400,1.799991
PHY_EDGE_ROW_1_Right_1,VPWR,li1,43.4700,13.6000,1.799983
PHY_EDGE_ROW_0_Right_0,VPWR,li1,43.4700,13.6000,1.799983
_101_,VPWR,li1,40.7100,29.9200,1.799973
_100_,VPWR,li1,38.8700,24.4800,1.799986
_099_,VPWR,li1,11.2700,35.3600,1.799985
_098_,VPWR,li1,20.4700,35.3600,1.799987
_097_,VPWR,li1,21.1600,35.3600,1.799987
_096_,VPWR,li1,14.9500,35.3600,1.799985
_095_,VPWR,li1,13.5700,29.9200,1.799984
_094_,VPWR,li1,17.2500,35.3600,1.799986
_093_,VPWR,li1,13.3400,24.4800,1.799992
_092_,VPWR,li1,20.0100,29.9200,1.799985
_091_,VPWR,li1,23.6900,35.3600,1.799985
_090_,VPWR,li1,37.9500,29.9200,1.799973
_089_,VPWR,li1,34.9600,29.9200,1.799975
_088_,VPWR,li1,26.9100,29.9200,1.799982
_087_,VPWR,li1,29.6700,29.9200,1.799980
_086_,VPWR,li1,25.9900,29.9200,1.799982
_085_,VPWR,li1,16.7900,29.9200,1.799985
_084_,VPWR,li1,11.2700,19.0400,1.799995
_083_,VPWR,li1,16.1000,19.0400,1.799995
_082_,VPWR,li1,9.8900,29.9200,1.799983
_081_,VPWR,li1,12.6500,29.9200,1.799984
_080_,VPWR,li1,10.1200,24.4800,1.799992
_079_,VPWR,li1,40.9400,24.4800,1.799984
_078_,VPWR,li1,31.5100,29.9200,1.799978
_077_,VPWR,li1,25.9900,24.4800,1.799991
_076_,VPWR,li1,28.2900,24.4800,1.799990
_075_,VPWR,li1,29.2100,19.0400,1.799993
_074_,VPWR,li1,26.4500,19.0400,1.799994
_073_,VPWR,li1,17.7100,19.0400,1.799995
_072_,VPWR,li1,20.9300,19.0400,1.799995
_071_,VPWR,li1,17.7100,19.0400,1.799995
_070_,VPWR,li1,14.0300,19.0400,1.799995
_069_,VPWR,li1,20.4700,24.4800,1.799993
_068_,VPWR,li1,40.4800,19.0400,1.799991
_067_,VPWR,li1,37.0300,19.0400,1.799991
_066_,VPWR,li1,40.2500,19.0400,1.799991
_065_,VPWR,li1,35.6500,13.6000,1.799983
_064_,VPWR,li1,37.9500,13.6000,1.799983
_063_,VPWR,li1,12.6500,13.6000,1.799989
_062_,VPWR,li1,14.7200,13.6000,1.799989
_061_,VPWR,li1,9.8900,19.0400,1.799995
_060_,VPWR,li1,17.7100,13.6000,1.799989
_059_,VPWR,li1,24.3800,19.0400,1.799994
_058_,VPWR,li1,32.8900,19.0400,1.799992
_057_,VPWR,li1,34.7300,19.0400,1.799992
_056_,VPWR,li1,20.9300,19.0400,1.799995
_055_,VPWR,li1,16.7900,13.6000,1.799989
_054_,VPWR,li1,37.4900,13.6000,1.799983
_053_,VPWR,li1,29.2100,13.6000,1.799986
_052_,VPWR,li1,26.2200,13.6000,1.799988
_051_,VPWR,li1,27.1400,13.6000,1.799987
_050_,VPWR,li1,39.3300,13.6000,1.799983
_049_,VPWR,li1,26.4500,19.0400,1.799994
_048_,VPWR,li1,14.9500,13.6000,1.799989
_047_,VPWR,li1,11.7300,24.4800,1.799992
