net,length_um
net1,44.94µm
net8,41.5µm
net4,39.71µm
net2,36.965µm
net5,34.74µm
net3,32.43µm
net7,31.46µm
_004_,28.66µm
net6,28.28µm
_007_,24.12µm
_018_,20.42µm
_047_,20.18µm
_046_,19.99µm
_014_,18.72µm
_027_,18.6µm
_041_,17.88µm
_013_,17.52µm
_002_,16.8µm
_024_,16.48µm
_006_,15.69µm
_038_,14.36µm
P[7],14.28µm
_039_,13.86µm
_017_,13.46µm
_011_,13.18µm
_008_,12.58µm
_035_,12.38µm
_030_,12.3µm
P[6],12.16µm
_021_,12µm
_016_,11.42µm
_028_,11.42µm
_044_,11.38µm
net9,11.3µm
P[0],10.34µm
_033_,9.88µm
_036_,9.32µm
P[2],8.96µm
A[0],8.84µm
A[1],8.72µm
_031_,8.66µm
P[1],8.5µm
_025_,8.335µm
_034_,7.64µm
_040_,7.58µm
_045_,7.56µm
_012_,7.52µm
_026_,7.14µm
B[0],6.99µm
_000_,6.86µm
_022_,6.5µm
net14,6.14µm
A[2],6.09µm
_029_,5.94µm
P[3],5.75µm
P[5],5.75µm
net11,5.6µm
B[2],5.29µm
P[4],5.07µm
A[3],4.61µm
B[1],4.61µm
B[3],4.61µm
_005_,4.54µm
_015_,4.44µm
_037_,4.34µm
_003_,4.14µm
net12,2.84µm
_032_,2.62µm
_042_,2.62µm
_043_,2.62µm
_001_,2.5µm
_010_,2.5µm
_019_,2.06µm
_009_,2.04µm
net16,2.04µm
_023_,1.84µm
_048_,1.7µm
net13,1.6µm
_049_,1.38µm
_020_,1.26µm
net10,0.92µm
net15,0.8µm
