Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VGND,li1,39.1000,38.0800,0.000019
FILLER_9_57,VGND,li1,34.5000,38.0800,0.000016
FILLER_9_54,VGND,li1,30.8200,38.0800,0.000014
FILLER_9_42,VGND,li1,27.6000,38.0800,0.000012
FILLER_9_36,VGND,li1,22.5400,38.0800,0.000011
FILLER_9_27,VGND,li1,18.1700,38.0800,0.000011
FILLER_9_15,VGND,li1,15.1800,38.0800,0.000011
FILLER_9_3,VGND,li1,9.6600,38.0800,0.000011
FILLER_8_75,VGND,li1,41.4000,32.6400,0.000008
FILLER_8_64,VGND,li1,35.8800,32.6400,0.000008
FILLER_8_52,VGND,li1,32.2000,32.6400,0.000007
FILLER_8_40,VGND,li1,26.6800,32.6400,0.000006
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000009
FILLER_8_11,VGND,li1,11.2700,32.6400,0.000010
FILLER_8_3,VGND,li1,8.7400,32.6400,0.000011
FILLER_7_69,VGND,li1,40.0200,32.6400,0.000008
FILLER_7_57,VGND,li1,33.1200,32.6400,0.000007
FILLER_7_55,VGND,li1,31.0500,32.6400,0.000007
FILLER_7_51,VGND,li1,29.9000,32.6400,0.000007
FILLER_7_42,VGND,li1,25.3000,32.6400,0.000006
FILLER_7_29,VGND,li1,20.7000,32.6400,0.000008
FILLER_7_17,VGND,li1,16.1000,32.6400,0.000009
FILLER_6_79,VGND,li1,42.3200,27.2000,0.000022
FILLER_6_69,VGND,li1,37.4900,27.2000,0.000021
FILLER_6_61,VGND,li1,35.4200,27.2000,0.000019
FILLER_6_48,VGND,li1,28.9800,27.2000,0.000015
FILLER_6_35,VGND,li1,23.0000,27.2000,0.000013
FILLER_6_29,VGND,li1,19.0900,27.2000,0.000014
FILLER_6_20,VGND,li1,16.5600,27.2000,0.000015
FILLER_6_3,VGND,li1,7.1300,27.2000,0.000016
FILLER_5_78,VGND,li1,42.0900,27.2000,0.000022
FILLER_5_57,VGND,li1,34.5000,27.2000,0.000019
FILLER_5_55,VGND,li1,31.0500,27.2000,0.000017
FILLER_5_51,VGND,li1,29.9000,27.2000,0.000015
FILLER_5_38,VGND,li1,23.6900,27.2000,0.000013
FILLER_5_34,VGND,li1,21.3900,27.2000,0.000013
FILLER_5_28,VGND,li1,19.7800,27.2000,0.000014
FILLER_5_20,VGND,li1,14.9500,27.2000,0.000015
FILLER_5_12,VGND,li1,12.8800,27.2000,0.000015
FILLER_5_7,VGND,li1,9.2000,27.2000,0.000016
FILLER_4_71,VGND,li1,39.5600,21.7600,0.000014
FILLER_4_65,VGND,li1,36.1100,21.7600,0.000013
FILLER_4_53,VGND,li1,32.6600,21.7600,0.000010
FILLER_4_41,VGND,li1,27.1400,21.7600,0.000008
FILLER_4_29,VGND,li1,21.6200,21.7600,0.000008
FILLER_4_25,VGND,li1,17.7100,21.7600,0.000008
FILLER_4_13,VGND,li1,11.7300,21.7600,0.000009
FILLER_4_7,VGND,li1,10.1200,21.7600,0.000009
FILLER_3_55,VGND,li1,31.0500,21.7600,0.000010
FILLER_3_50,VGND,li1,28.9800,21.7600,0.000009
FILLER_3_43,VGND,li1,26.2200,21.7600,0.000007
FILLER_3_38,VGND,li1,23.2300,21.7600,0.000008
FILLER_3_21,VGND,li1,17.0200,21.7600,0.000008
FILLER_3_3,VGND,li1,7.8200,21.7600,0.000009
FILLER_2_69,VGND,li1,40.0200,16.3200,0.000005
FILLER_2_57,VGND,li1,34.5000,16.3200,0.000005
FILLER_2_45,VGND,li1,28.9800,16.3200,0.000005
FILLER_2_33,VGND,li1,23.4600,16.3200,0.000005
FILLER_2_29,VGND,li1,19.0900,16.3200,0.000006
FILLER_2_25,VGND,li1,17.7100,16.3200,0.000006
FILLER_2_17,VGND,li1,15.1800,16.3200,0.000006
FILLER_2_7,VGND,li1,9.4300,16.3200,0.000007
FILLER_1_69,VGND,li1,40.0200,16.3200,0.000005
FILLER_1_57,VGND,li1,32.2000,16.3200,0.000005
FILLER_1_52,VGND,li1,30.3600,16.3200,0.000005
FILLER_1_46,VGND,li1,27.1400,16.3200,0.000004
FILLER_1_39,VGND,li1,23.9200,16.3200,0.000005
FILLER_1_21,VGND,li1,15.4100,16.3200,0.000006
FILLER_1_7,VGND,li1,10.5800,16.3200,0.000007
FILLER_0_77,VGND,li1,41.8600,10.8800,0.000008
FILLER_0_65,VGND,li1,38.1800,10.8800,0.000008
FILLER_0_48,VGND,li1,27.8300,10.8800,0.000007
FILLER_0_35,VGND,li1,22.3100,10.8800,0.000007
FILLER_0_29,VGND,li1,19.3200,10.8800,0.000008
FILLER_0_23,VGND,li1,16.3300,10.8800,0.000008
FILLER_0_3,VGND,li1,8.2800,10.8800,0.000009
max_cap17,VGND,li1,37.4900,21.7600,0.000013
output16,VGND,li1,7.8200,32.6400,0.000011
output15,VGND,li1,23.9200,38.0800,0.000011
output14,VGND,li1,41.8600,38.0800,0.000020
output13,VGND,li1,38.6400,27.2000,0.000021
output12,VGND,li1,41.8600,21.7600,0.000015
output11,VGND,li1,34.5000,10.8800,0.000008
output10,VGND,li1,17.4800,10.8800,0.000008
output9,VGND,li1,32.6600,10.8800,0.000008
input8,VGND,li1,7.8200,21.7600,0.000009
input7,VGND,li1,7.8200,16.3200,0.000007
input6,VGND,li1,7.8200,16.3200,0.000007
input5,VGND,li1,25.3000,10.8800,0.000006
input4,VGND,li1,9.4300,32.6400,0.000011
input3,VGND,li1,7.8200,27.2000,0.000016
input2,VGND,li1,20.7000,10.8800,0.000008
input1,VGND,li1,14.4900,16.3200,0.000006
TAP_TAPCELL_ROW_9_31,VGND,li1,31.5100,37.7880,0.000014
TAP_TAPCELL_ROW_9_30,VGND,li1,18.6300,37.7880,0.000011
TAP_TAPCELL_ROW_8_29,VGND,li1,18.6300,32.9310,0.000008
TAP_TAPCELL_ROW_7_28,VGND,li1,31.5100,32.3480,0.000007
TAP_TAPCELL_ROW_6_27,VGND,li1,18.6300,27.4910,0.000014
TAP_TAPCELL_ROW_5_26,VGND,li1,31.5100,26.9080,0.000017
TAP_TAPCELL_ROW_4_25,VGND,li1,18.6300,22.0510,0.000008
TAP_TAPCELL_ROW_3_24,VGND,li1,31.5100,21.4680,0.000010
TAP_TAPCELL_ROW_2_23,VGND,li1,18.6300,16.6110,0.000006
TAP_TAPCELL_ROW_1_22,VGND,li1,31.5100,16.0280,0.000005
TAP_TAPCELL_ROW_0_21,VGND,li1,31.5100,11.1710,0.000008
TAP_TAPCELL_ROW_0_20,VGND,li1,18.6300,11.1710,0.000008
PHY_EDGE_ROW_9_Left_19,VGND,li1,6.2100,38.0800,0.000011
PHY_EDGE_ROW_8_Left_18,VGND,li1,6.2100,32.6400,0.000011
PHY_EDGE_ROW_7_Left_17,VGND,li1,6.2100,32.6400,0.000011
PHY_EDGE_ROW_6_Left_16,VGND,li1,6.2100,27.2000,0.000016
PHY_EDGE_ROW_5_Left_15,VGND,li1,6.2100,27.2000,0.000016
PHY_EDGE_ROW_4_Left_14,VGND,li1,6.2100,21.7600,0.000009
PHY_EDGE_ROW_3_Left_13,VGND,li1,6.2100,21.7600,0.000009
PHY_EDGE_ROW_2_Left_12,VGND,li1,6.2100,16.3200,0.000007
PHY_EDGE_ROW_1_Left_11,VGND,li1,6.2100,16.3200,0.000007
PHY_EDGE_ROW_0_Left_10,VGND,li1,6.2100,10.8800,0.000009
PHY_EDGE_ROW_9_Right_9,VGND,li1,43.4700,38.0800,0.000020
PHY_EDGE_ROW_8_Right_8,VGND,li1,43.4700,32.6400,0.000008
PHY_EDGE_ROW_7_Right_7,VGND,li1,43.4700,32.6400,0.000008
PHY_EDGE_ROW_6_Right_6,VGND,li1,43.4700,27.2000,0.000022
PHY_EDGE_ROW_5_Right_5,VGND,li1,43.4700,27.2000,0.000022
PHY_EDGE_ROW_4_Right_4,VGND,li1,43.4700,21.7600,0.000015
PHY_EDGE_ROW_3_Right_3,VGND,li1,43.4700,21.7600,0.000015
PHY_EDGE_ROW_2_Right_2,VGND,li1,43.4700,16.3200,0.000005
PHY_EDGE_ROW_1_Right_1,VGND,li1,43.4700,16.3200,0.000005
PHY_EDGE_ROW_0_Right_0,VGND,li1,43.4700,10.8800,0.000008
_95_,VGND,li1,40.7100,27.2000,0.000022
_94_,VGND,li1,38.4100,27.2000,0.000021
_93_,VGND,li1,11.7300,32.6400,0.000010
_92_,VGND,li1,20.4700,38.0800,0.000011
_91_,VGND,li1,20.7000,32.6400,0.000008
_90_,VGND,li1,14.4900,32.6400,0.000009
_89_,VGND,li1,12.6500,32.6400,0.000010
_88_,VGND,li1,16.7900,32.6400,0.000009
_87_,VGND,li1,13.3400,21.7600,0.000009
_86_,VGND,li1,20.4700,27.2000,0.000013
_85_,VGND,li1,23.2300,32.6400,0.000007
_84_,VGND,li1,38.4100,32.6400,0.000008
_83_,VGND,li1,35.8800,32.6400,0.000008
_82_,VGND,li1,27.3700,32.6400,0.000007
_81_,VGND,li1,23.6900,32.6400,0.000007
_80_,VGND,li1,25.9900,27.2000,0.000012
_79_,VGND,li1,16.7900,27.2000,0.000014
_78_,VGND,li1,15.8700,21.7600,0.000009
_77_,VGND,li1,14.2600,21.7600,0.000009
_76_,VGND,li1,12.1900,21.7600,0.000009
_75_,VGND,li1,10.8100,27.2000,0.000016
_74_,VGND,li1,13.5700,27.2000,0.000015
_73_,VGND,li1,8.2800,27.2000,0.000016
_72_,VGND,li1,40.4800,27.2000,0.000022
_71_,VGND,li1,31.9700,27.2000,0.000017
_70_,VGND,li1,25.9900,27.2000,0.000012
_69_,VGND,li1,28.2900,27.2000,0.000015
_68_,VGND,li1,33.8100,21.7600,0.000012
_67_,VGND,li1,27.8300,21.7600,0.000008
_66_,VGND,li1,20.9300,21.7600,0.000008
_65_,VGND,li1,20.0100,16.3200,0.000006
_64_,VGND,li1,11.7300,16.3200,0.000007
_63_,VGND,li1,22.3100,27.2000,0.000013
_62_,VGND,li1,42.0900,21.7600,0.000015
_61_,VGND,li1,37.4900,21.7600,0.000013
_60_,VGND,li1,40.2500,21.7600,0.000014
_59_,VGND,li1,34.2700,16.3200,0.000005
_58_,VGND,li1,36.5700,16.3200,0.000005
_57_,VGND,li1,22.3100,16.3200,0.000005
_56_,VGND,li1,17.9400,16.3200,0.000006
_55_,VGND,li1,16.3300,16.3200,0.000006
_54_,VGND,li1,20.0100,16.3200,0.000006
_53_,VGND,li1,28.5200,16.3200,0.000004
_52_,VGND,li1,24.3800,21.7600,0.000008
_51_,VGND,li1,30.1300,21.7600,0.000009
_50_,VGND,li1,9.8900,21.7600,0.000009
_49_,VGND,li1,29.6700,10.8800,0.000007
_48_,VGND,li1,13.1100,16.3200,0.000007
_47_,VGND,li1,11.5000,10.8800,0.000009
_46_,VGND,li1,14.7200,10.8800,0.000008
_45_,VGND,li1,25.5300,16.3200,0.000004
_44_,VGND,li1,10.3500,27.2000,0.000016
