net,length_um
net4,52.54µm
net7,49.08µm
net2,48.57µm
net3,44.94µm
_041_,36.5µm
net8,32.56µm
net5,32.22µm
net6,30.92µm
_031_,24.88µm
net1,22.86µm
_010_,21.65µm
_035_,19.3µm
_013_,18.34µm
_026_,17.82µm
_016_,17.56µm
_019_,17.22µm
_032_,15.02µm
_015_,14.44µm
_009_,13.76µm
_024_,13.6µm
_021_,13.52µm
_048_,13.1µm
_051_,12.28µm
P[1],12.13µm
_003_,11.98µm
_004_,11.38µm
_005_,11.22µm
_033_,11.18µm
_007_,11.08µm
_018_,10.99µm
_044_,10.96µm
_030_,10.54µm
P[2],10.32µm
P[3],10.32µm
_049_,10.08µm
_034_,9.3µm
A[2],8.72µm
P[7],8.5µm
_029_,7.64µm
B[2],6.99µm
_040_,6.66µm
net16,6.45µm
_020_,6.28µm
_043_,6.16µm
_012_,6.08µm
A[3],5.97µm
P[4],5.75µm
_038_,5.74µm
_022_,5.38µm
net9,5.34µm
A[0],5.29µm
_047_,5.26µm
net13,5.22µm
_050_,5.1µm
A[1],5.07µm
B[0],5.07µm
B[1],5.07µm
net12,4.8µm
B[3],4.61µm
_039_,4.48µm
P[5],4.39µm
P[6],4.39µm
_037_,4.36µm
_028_,4.34µm
_008_,4.14µm
_046_,3.86µm
_027_,3.68µm
_017_,3.44µm
_001_,3.1µm
net14,3.1µm
_042_,3.08µm
_014_,2.98µm
_036_,2.96µm
net15,2.96µm
_011_,2.62µm
_045_,2.5µm
_052_,2.5µm
_002_,2.18µm
_000_,2.16µm
_023_,2.04µm
net10,2.04µm
net11,1.26µm
_025_,0.8µm
_006_,0.46µm
