Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_73,VGND,li1,39.3300,38.0800,0.000025
FILLER_9_69,VGND,li1,38.1800,38.0800,0.000025
FILLER_9_57,VGND,li1,34.5000,38.0800,0.000022
FILLER_9_41,VGND,li1,25.3000,38.0800,0.000014
FILLER_9_29,VGND,li1,21.6200,38.0800,0.000015
FILLER_9_26,VGND,li1,17.9400,38.0800,0.000015
FILLER_9_14,VGND,li1,14.7200,38.0800,0.000016
FILLER_8_80,VGND,li1,42.5500,32.6400,0.000023
FILLER_8_72,VGND,li1,40.4800,32.6400,0.000022
FILLER_8_62,VGND,li1,34.7300,32.6400,0.000019
FILLER_8_54,VGND,li1,32.2000,32.6400,0.000018
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000017
FILLER_8_15,VGND,li1,13.8000,32.6400,0.000018
FILLER_8_11,VGND,li1,10.8100,32.6400,0.000020
FILLER_7_69,VGND,li1,39.1000,32.6400,0.000022
FILLER_7_57,VGND,li1,34.5000,32.6400,0.000019
FILLER_7_52,VGND,li1,30.3600,32.6400,0.000016
FILLER_7_40,VGND,li1,26.6800,32.6400,0.000013
FILLER_7_35,VGND,li1,22.0800,32.6400,0.000016
FILLER_7_25,VGND,li1,18.4000,32.6400,0.000017
FILLER_7_7,VGND,li1,9.2000,32.6400,0.000020
FILLER_6_73,VGND,li1,40.9400,27.2000,0.000014
FILLER_6_50,VGND,li1,29.9000,27.2000,0.000012
FILLER_6_36,VGND,li1,22.5400,27.2000,0.000010
FILLER_6_23,VGND,li1,16.5600,27.2000,0.000012
FILLER_6_3,VGND,li1,7.3600,27.2000,0.000013
FILLER_5_77,VGND,li1,41.8600,27.2000,0.000014
FILLER_5_69,VGND,li1,37.4900,27.2000,0.000014
FILLER_5_57,VGND,li1,34.5000,27.2000,0.000014
FILLER_5_46,VGND,li1,27.3700,27.2000,0.000011
FILLER_5_38,VGND,li1,24.8400,27.2000,0.000009
FILLER_5_29,VGND,li1,19.7800,27.2000,0.000011
FILLER_5_13,VGND,li1,13.3400,27.2000,0.000013
FILLER_4_80,VGND,li1,42.5500,21.7600,0.000011
FILLER_4_74,VGND,li1,40.9400,21.7600,0.000011
FILLER_4_59,VGND,li1,35.4200,21.7600,0.000010
FILLER_4_48,VGND,li1,28.9800,21.7600,0.000008
FILLER_4_39,VGND,li1,23.9200,21.7600,0.000007
FILLER_4_33,VGND,li1,20.9300,21.7600,0.000008
FILLER_4_29,VGND,li1,19.7800,21.7600,0.000008
FILLER_4_25,VGND,li1,17.7100,21.7600,0.000009
FILLER_4_17,VGND,li1,15.1800,21.7600,0.000009
FILLER_4_13,VGND,li1,11.7300,21.7600,0.000010
FILLER_3_77,VGND,li1,41.8600,21.7600,0.000011
FILLER_3_57,VGND,li1,31.9700,21.7600,0.000009
FILLER_3_54,VGND,li1,30.8200,21.7600,0.000009
FILLER_3_46,VGND,li1,28.5200,21.7600,0.000008
FILLER_3_27,VGND,li1,18.4000,21.7600,0.000009
FILLER_3_10,VGND,li1,10.3500,21.7600,0.000010
FILLER_2_80,VGND,li1,42.5500,16.3200,0.000015
FILLER_2_72,VGND,li1,40.4800,16.3200,0.000014
FILLER_2_63,VGND,li1,34.7300,16.3200,0.000012
FILLER_2_57,VGND,li1,33.1200,16.3200,0.000012
FILLER_2_45,VGND,li1,28.9800,16.3200,0.000010
FILLER_2_37,VGND,li1,23.2300,16.3200,0.000009
FILLER_2_29,VGND,li1,20.7000,16.3200,0.000010
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000011
FILLER_2_19,VGND,li1,16.1000,16.3200,0.000012
FILLER_1_76,VGND,li1,40.7100,16.3200,0.000014
FILLER_1_72,VGND,li1,39.5600,16.3200,0.000014
FILLER_1_57,VGND,li1,33.5800,16.3200,0.000012
FILLER_1_54,VGND,li1,30.8200,16.3200,0.000011
FILLER_1_24,VGND,li1,17.0200,16.3200,0.000012
FILLER_0_69,VGND,li1,40.0200,10.8800,0.000003
FILLER_0_57,VGND,li1,34.5000,10.8800,0.000003
FILLER_0_55,VGND,li1,31.0500,10.8800,0.000003
FILLER_0_49,VGND,li1,29.4400,10.8800,0.000003
FILLER_0_41,VGND,li1,25.3000,10.8800,0.000002
FILLER_0_34,VGND,li1,22.0800,10.8800,0.000003
FILLER_0_26,VGND,li1,17.9400,10.8800,0.000003
