Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_73,VPWR,li1,39.3300,35.3600,1.799970
FILLER_9_69,VPWR,li1,38.1800,35.3600,1.799970
FILLER_9_57,VPWR,li1,34.5000,35.3600,1.799972
FILLER_9_55,VPWR,li1,31.0500,35.3600,1.799976
FILLER_9_49,VPWR,li1,29.4400,35.3600,1.799976
FILLER_9_41,VPWR,li1,25.3000,35.3600,1.799981
FILLER_9_33,VPWR,li1,20.9300,35.3600,1.799983
FILLER_9_29,VPWR,li1,19.7800,35.3600,1.799983
FILLER_9_27,VPWR,li1,18.1700,35.3600,1.799983
FILLER_9_19,VPWR,li1,16.1000,35.3600,1.799982
FILLER_9_7,VPWR,li1,11.5000,35.3600,1.799981
FILLER_8_73,VPWR,li1,40.9400,35.3600,1.799969
FILLER_8_59,VPWR,li1,32.8900,35.3600,1.799974
FILLER_8_51,VPWR,li1,29.2100,35.3600,1.799977
FILLER_8_45,VPWR,li1,27.6000,35.3600,1.799977
FILLER_8_29,VPWR,li1,19.3200,35.3600,1.799983
FILLER_8_26,VPWR,li1,17.9400,35.3600,1.799983
FILLER_8_14,VPWR,li1,14.7200,35.3600,1.799982
FILLER_8_3,VPWR,li1,8.2800,35.3600,1.799980
FILLER_7_75,VPWR,li1,40.4800,29.9200,1.799972
FILLER_7_67,VPWR,li1,36.5700,29.9200,1.799975
FILLER_7_63,VPWR,li1,35.4200,29.9200,1.799975
FILLER_7_50,VPWR,li1,29.9000,29.9200,1.799980
FILLER_7_38,VPWR,li1,25.7600,29.9200,1.799984
FILLER_7_26,VPWR,li1,18.1700,29.9200,1.799985
FILLER_7_18,VPWR,li1,15.6400,29.9200,1.799985
FILLER_7_9,VPWR,li1,9.8900,29.9200,1.799984
FILLER_7_3,VPWR,li1,8.2800,29.9200,1.799984
FILLER_6_78,VPWR,li1,42.0900,29.9200,1.799972
FILLER_6_70,VPWR,li1,39.5600,29.9200,1.799973
FILLER_6_63,VPWR,li1,34.7300,29.9200,1.799976
FILLER_6_54,VPWR,li1,31.2800,29.9200,1.799978
FILLER_6_41,VPWR,li1,25.7600,29.9200,1.799984
FILLER_6_22,VPWR,li1,17.0200,29.9200,1.799985
FILLER_5_76,VPWR,li1,40.7100,24.4800,1.799986
FILLER_5_63,VPWR,li1,34.7300,24.4800,1.799988
FILLER_5_57,VPWR,li1,33.1200,24.4800,1.799988
FILLER_5_53,VPWR,li1,30.5900,24.4800,1.799989
FILLER_5_41,VPWR,li1,27.1400,24.4800,1.799990
FILLER_5_14,VPWR,li1,14.7200,24.4800,1.799990
FILLER_4_73,VPWR,li1,39.3300,24.4800,1.799987
FILLER_4_65,VPWR,li1,37.2600,24.4800,1.799987
FILLER_4_45,VPWR,li1,26.4500,24.4800,1.799991
FILLER_4_41,VPWR,li1,25.3000,24.4800,1.799991
FILLER_4_29,VPWR,li1,21.6200,24.4800,1.799992
FILLER_4_27,VPWR,li1,18.1700,24.4800,1.799991
FILLER_4_19,VPWR,li1,16.1000,24.4800,1.799991
FILLER_3_77,VPWR,li1,41.8600,19.0400,1.799988
FILLER_3_69,VPWR,li1,37.4900,19.0400,1.799989
FILLER_3_57,VPWR,li1,34.5000,19.0400,1.799989
FILLER_3_52,VPWR,li1,30.3600,19.0400,1.799990
FILLER_3_40,VPWR,li1,24.3800,19.0400,1.799992
FILLER_3_23,VPWR,li1,16.3300,19.0400,1.799992
FILLER_3_17,VPWR,li1,14.7200,19.0400,1.799991
FILLER_3_11,VPWR,li1,10.8100,19.0400,1.799990
FILLER_3_3,VPWR,li1,7.3600,19.0400,1.799990
FILLER_2_56,VPWR,li1,31.9700,19.0400,1.799990
FILLER_2_47,VPWR,li1,28.5200,19.0400,1.799990
FILLER_2_35,VPWR,li1,24.3800,19.0400,1.799992
FILLER_2_29,VPWR,li1,19.3200,19.0400,1.799992
FILLER_2_27,VPWR,li1,18.1700,19.0400,1.799992
FILLER_2_19,VPWR,li1,16.1000,19.0400,1.799992
FILLER_1_69,VPWR,li1,40.0200,13.6000,1.799991
FILLER_1_64,VPWR,li1,35.4200,13.6000,1.799991
FILLER_1_48,VPWR,li1,28.2900,13.6000,1.799992
FILLER_1_34,VPWR,li1,21.3900,13.6000,1.799994
FILLER_1_21,VPWR,li1,16.5600,13.6000,1.799992
FILLER_0_75,VPWR,li1,41.4000,13.6000,1.799991
FILLER_0_63,VPWR,li1,37.2600,13.6000,1.799991
FILLER_0_54,VPWR,li1,30.8200,13.6000,1.799992
FILLER_0_42,VPWR,li1,27.6000,13.6000,1.799992
FILLER_0_34,VPWR,li1,22.0800,13.6000,1.799994
FILLER_0_29,VPWR,li1,19.3200,13.6000,1.799993
FILLER_0_22,VPWR,li1,16.1000,13.6000,1.799992
FILLER_0_3,VPWR,li1,8.7400,13.6000,1.799991
mult4_SarsaNStepsRuido_e9_SarsaNStepsRuido_e9_SARSA_RUIDO_e9_SARSA_RUIDO_e9_16,VPWR,li1,40.2500,35.3600,1.799969
output15,VPWR,li1,41.8600,24.4800,1.799986
output14,VPWR,li1,41.8600,24.4800,1.799986
output13,VPWR,li1,41.8600,29.9200,1.799972
output12,VPWR,li1,41.8600,35.3600,1.799969
output11,VPWR,li1,27.1400,35.3600,1.799979
output10,VPWR,li1,7.8200,35.3600,1.799980
output9,VPWR,li1,7.8200,24.4800,1.799989
input8,VPWR,li1,40.4800,19.0400,1.799988
input7,VPWR,li1,23.9200,13.6000,1.799993
input6,VPWR,li1,9.2000,13.6000,1.799991
input5,VPWR,li1,7.8200,19.0400,1.799990
input4,VPWR,li1,17.4800,13.6000,1.799992
input3,VPWR,li1,11.5000,13.6000,1.799991
input2,VPWR,li1,7.8200,24.4800,1.799989
input1,VPWR,li1,9.2000,29.9200,1.799984
TAP_TAPCELL_ROW_9_31,VPWR,li1,31.5100,35.6660,1.799974
TAP_TAPCELL_ROW_9_30,VPWR,li1,18.6300,35.6660,1.799983
TAP_TAPCELL_ROW_8_29,VPWR,li1,18.6300,35.0530,1.799983
TAP_TAPCELL_ROW_7_28,VPWR,li1,31.5100,30.2260,1.799978
TAP_TAPCELL_ROW_6_27,VPWR,li1,18.6300,29.6130,1.799985
TAP_TAPCELL_ROW_5_26,VPWR,li1,31.5100,24.7860,1.799989
TAP_TAPCELL_ROW_4_25,VPWR,li1,18.6300,24.1730,1.799991
TAP_TAPCELL_ROW_3_24,VPWR,li1,31.5100,19.3460,1.799990
TAP_TAPCELL_ROW_2_23,VPWR,li1,18.6300,18.7330,1.799992
TAP_TAPCELL_ROW_1_22,VPWR,li1,31.5100,13.9060,1.799992
TAP_TAPCELL_ROW_0_21,VPWR,li1,31.5100,13.2930,1.799992
TAP_TAPCELL_ROW_0_20,VPWR,li1,18.6300,13.2930,1.799993
PHY_EDGE_ROW_9_Left_19,VPWR,li1,6.2100,35.3600,1.799980
PHY_EDGE_ROW_8_Left_18,VPWR,li1,6.2100,35.3600,1.799980
PHY_EDGE_ROW_7_Left_17,VPWR,li1,6.2100,29.9200,1.799984
PHY_EDGE_ROW_6_Left_16,VPWR,li1,6.2100,29.9200,1.799984
PHY_EDGE_ROW_5_Left_15,VPWR,li1,6.2100,24.4800,1.799989
