Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VPWR,li1,39.1000,35.3600,1.799971
FILLER_9_57,VPWR,li1,34.5000,35.3600,1.799974
FILLER_9_54,VPWR,li1,30.8200,35.3600,1.799977
FILLER_9_42,VPWR,li1,27.6000,35.3600,1.799979
FILLER_9_37,VPWR,li1,22.7700,35.3600,1.799983
FILLER_9_29,VPWR,li1,19.0900,35.3600,1.799985
FILLER_9_27,VPWR,li1,18.1700,35.3600,1.799984
FILLER_9_19,VPWR,li1,16.1000,35.3600,1.799984
FILLER_9_7,VPWR,li1,11.5000,35.3600,1.799984
FILLER_8_80,VPWR,li1,42.5500,35.3600,1.799970
FILLER_8_74,VPWR,li1,40.9400,35.3600,1.799970
FILLER_8_61,VPWR,li1,34.9600,35.3600,1.799974
FILLER_8_53,VPWR,li1,30.3600,35.3600,1.799977
FILLER_8_45,VPWR,li1,28.0600,35.3600,1.799979
FILLER_8_33,VPWR,li1,20.9300,35.3600,1.799985
FILLER_8_29,VPWR,li1,19.7800,35.3600,1.799985
FILLER_8_19,VPWR,li1,15.1800,35.3600,1.799984
FILLER_8_11,VPWR,li1,10.8100,35.3600,1.799984
FILLER_8_3,VPWR,li1,8.7400,35.3600,1.799983
FILLER_7_69,VPWR,li1,40.0200,29.9200,1.799981
FILLER_7_57,VPWR,li1,34.5000,29.9200,1.799983
FILLER_7_53,VPWR,li1,30.5900,29.9200,1.799985
FILLER_7_40,VPWR,li1,24.1500,29.9200,1.799989
FILLER_7_28,VPWR,li1,21.1600,29.9200,1.799990
FILLER_7_19,VPWR,li1,14.4900,29.9200,1.799989
FILLER_7_7,VPWR,li1,11.5000,29.9200,1.799988
FILLER_6_76,VPWR,li1,40.7100,29.9200,1.799981
FILLER_6_72,VPWR,li1,39.5600,29.9200,1.799981
FILLER_6_60,VPWR,li1,35.8800,29.9200,1.799983
FILLER_6_48,VPWR,li1,30.3600,29.9200,1.799985
FILLER_6_41,VPWR,li1,25.3000,29.9200,1.799987
FILLER_6_26,VPWR,li1,17.9400,29.9200,1.799990
FILLER_6_18,VPWR,li1,15.6400,29.9200,1.799989
FILLER_5_77,VPWR,li1,41.8600,24.4800,1.799988
FILLER_5_64,VPWR,li1,36.8000,24.4800,1.799988
FILLER_5_55,VPWR,li1,31.0500,24.4800,1.799990
FILLER_5_51,VPWR,li1,29.9000,24.4800,1.799990
FILLER_5_40,VPWR,li1,24.8400,24.4800,1.799992
FILLER_5_28,VPWR,li1,21.1600,24.4800,1.799993
FILLER_5_15,VPWR,li1,12.8800,24.4800,1.799992
FILLER_5_7,VPWR,li1,8.9700,24.4800,1.799991
FILLER_4_74,VPWR,li1,40.2500,24.4800,1.799988
FILLER_4_63,VPWR,li1,34.7300,24.4800,1.799989
FILLER_4_51,VPWR,li1,31.7400,24.4800,1.799989
FILLER_4_29,VPWR,li1,21.6200,24.4800,1.799993
FILLER_4_27,VPWR,li1,18.1700,24.4800,1.799993
FILLER_4_19,VPWR,li1,16.1000,24.4800,1.799992
FILLER_4_7,VPWR,li1,11.5000,24.4800,1.799992
FILLER_3_78,VPWR,li1,42.0900,19.0400,1.799993
FILLER_3_57,VPWR,li1,32.6600,19.0400,1.799994
FILLER_3_53,VPWR,li1,30.5900,19.0400,1.799994
