Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_75,VGND,li1,40.4800,38.0800,0.000014
FILLER_9_67,VGND,li1,38.1800,38.0800,0.000013
FILLER_9_55,VGND,li1,31.0500,38.0800,0.000010
FILLER_9_29,VGND,li1,19.0900,38.0800,0.000007
FILLER_9_27,VGND,li1,18.1700,38.0800,0.000007
FILLER_9_15,VGND,li1,15.1800,38.0800,0.000007
FILLER_9_3,VGND,li1,9.6600,38.0800,0.000007
FILLER_8_79,VGND,li1,42.3200,32.6400,0.000022
FILLER_8_71,VGND,li1,40.0200,32.6400,0.000021
FILLER_8_52,VGND,li1,32.2000,32.6400,0.000016
FILLER_8_40,VGND,li1,26.6800,32.6400,0.000012
FILLER_8_29,VGND,li1,19.3200,32.6400,0.000013
FILLER_8_20,VGND,li1,16.5600,32.6400,0.000014
FILLER_8_3,VGND,li1,9.6600,32.6400,0.000014
FILLER_7_74,VGND,li1,40.2500,32.6400,0.000021
FILLER_7_66,VGND,li1,36.1100,32.6400,0.000019
FILLER_7_57,VGND,li1,31.9700,32.6400,0.000016
FILLER_7_55,VGND,li1,31.0500,32.6400,0.000016
FILLER_7_44,VGND,li1,25.9900,32.6400,0.000012
FILLER_7_27,VGND,li1,18.6300,32.6400,0.000013
FILLER_7_18,VGND,li1,14.0300,32.6400,0.000014
FILLER_7_12,VGND,li1,12.4200,32.6400,0.000014
FILLER_7_6,VGND,li1,8.5100,32.6400,0.000014
FILLER_6_75,VGND,li1,41.4000,27.2000,0.000009
FILLER_6_63,VGND,li1,37.2600,27.2000,0.000008
FILLER_6_51,VGND,li1,31.7400,27.2000,0.000007
FILLER_6_39,VGND,li1,26.2200,27.2000,0.000006
FILLER_6_35,VGND,li1,21.8500,27.2000,0.000007
FILLER_6_29,VGND,li1,19.5500,27.2000,0.000008
FILLER_6_26,VGND,li1,17.9400,27.2000,0.000008
FILLER_6_20,VGND,li1,14.9500,27.2000,0.000008
FILLER_6_12,VGND,li1,12.8800,27.2000,0.000009
FILLER_6_3,VGND,li1,7.1300,27.2000,0.000009
FILLER_5_63,VGND,li1,35.1900,27.2000,0.000008
FILLER_5_53,VGND,li1,30.5900,27.2000,0.000007
FILLER_5_29,VGND,li1,19.7800,27.2000,0.000007
FILLER_5_6,VGND,li1,8.7400,27.2000,0.000009
FILLER_4_76,VGND,li1,40.7100,21.7600,0.000018
FILLER_4_64,VGND,li1,37.7200,21.7600,0.000016
FILLER_4_54,VGND,li1,31.0500,21.7600,0.000013
FILLER_4_42,VGND,li1,27.6000,21.7600,0.000011
FILLER_4_37,VGND,li1,23.0000,21.7600,0.000010
FILLER_4_29,VGND,li1,20.7000,21.7600,0.000011
FILLER_4_24,VGND,li1,17.4800,21.7600,0.000012
FILLER_4_14,VGND,li1,12.6500,21.7600,0.000013
FILLER_4_6,VGND,li1,8.9700,21.7600,0.000013
FILLER_3_79,VGND,li1,42.3200,21.7600,0.000019
FILLER_3_71,VGND,li1,40.0200,21.7600,0.000018
FILLER_3_65,VGND,li1,36.1100,21.7600,0.000016
FILLER_3_57,VGND,li1,33.5800,21.7600,0.000015
FILLER_3_54,VGND,li1,30.8200,21.7600,0.000013
FILLER_3_46,VGND,li1,27.6000,21.7600,0.000011
FILLER_3_16,VGND,li1,14.7200,21.7600,0.000012
FILLER_3_8,VGND,li1,9.4300,21.7600,0.000013
FILLER_3_3,VGND,li1,7.1300,21.7600,0.000013
FILLER_2_76,VGND,li1,40.7100,16.3200,0.000009
FILLER_2_60,VGND,li1,34.9600,16.3200,0.000008
FILLER_2_51,VGND,li1,29.4400,16.3200,0.000008
FILLER_2_41,VGND,li1,25.3000,16.3200,0.000006
FILLER_2_29,VGND,li1,19.7800,16.3200,0.000007
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000007
FILLER_2_21,VGND,li1,16.5600,16.3200,0.000007
