net,length_um
net36,191.52µm
net35,190.38µm
net45,157.48µm
net5,155.12µm
net13,146.28µm
net50,143.04µm
net42,135.4µm
net49,115.2µm
net34,114.84µm
net4,110.28µm
net40,108.48µm
net33,107.65µm
net43,105.87µm
net6,104.56µm
net9,103.24µm
net38,98.64µm
net14,97.82µm
net2,97.1µm
net32,94.66µm
net3,93.68µm
net15,88.78µm
net46,84.26µm
net1,84.15µm
net11,83.26µm
net16,80.98µm
net44,79.34µm
net47,75.94µm
net58,75.26µm
_074_,71.58µm
_135_,68.98µm
net8,67.5µm
_115_,67.26µm
_029_,65µm
_213_,63.945µm
_161_,62.92µm
net59,60.84µm
net12,60.42µm
_033_,54.36µm
_211_,54.32µm
net41,53.975µm
_191_,52.98µm
net17,52.9µm
net7,52.34µm
_069_,49.08µm
_234_,48.2µm
net76,47.1µm
net69,44.56µm
_000_,43.33µm
_162_,42.26µm
net30,41.26µm
net18,40.7µm
_256_,39.4µm
net31,38.4µm
_001_,38.12µm
net29,37.14µm
_105_,36.74µm
_014_,36.72µm
net19,36.66µm
_224_,36.2µm
_082_,35.9µm
net27,34.82µm
_193_,34.55µm
_103_,34.26µm
net52,34.25µm
_204_,33.62µm
_044_,32.85µm
_252_,32.82µm
_085_,32.675µm
_071_,32.16µm
_144_,32µm
_064_,31.96µm
net20,31.7µm
net39,31.38µm
_264_,30.9µm
_250_,30.7µm
_031_,30.22µm
_072_,29.86µm
net22,29.86µm
net26,29.2µm
_025_,29.1µm
_051_,28.84µm
_268_,28.44µm
_155_,28.4µm
_036_,28.28µm
net21,28.12µm
_002_,28.02µm
_244_,27.92µm
_111_,27.9µm
_177_,27.8µm
net28,27.46µm
_165_,27.43µm
_195_,27.29µm
_202_,27.29µm
_251_,26.4µm
_147_,26.16µm
_231_,25.64µm
net37,25.64µm
net56,25.6µm
_158_,25.58µm
_217_,25.445µm
_037_,25.3µm
_076_,25.18µm
net63,25.1µm
_215_,25.02µm
_128_,24.815µm
_078_,24.78µm
_166_,24.64µm
_093_,24.36µm
_131_,24.26µm
_059_,24.22µm
_266_,23.72µm
_262_,23.48µm
_016_,23.38µm
_140_,22.98µm
net66,22.6µm
_050_,22.5µm
_212_,22.28µm
_222_,22.24µm
_145_,22.2µm
_130_,22.18µm
_236_,21.845µm
_120_,21.24µm
_229_,20.7µm
_054_,20.54µm
_206_,20.54µm
_090_,20.52µm
net75,20.46µm
net61,20.36µm
_091_,20.19µm
_055_,19.44µm
_084_,19.16µm
_164_,18.5µm
_083_,18.36µm
_142_,18.17µm
_219_,17.94µm
_007_,17.78µm
_199_,17.48µm
_015_,17.46µm
_063_,17.4µm
_239_,17.36µm
_227_,16.96µm
_119_,16.76µm
_097_,16.6µm
_040_,16.52µm
_149_,16.52µm
_141_,16.48µm
_160_,16.38µm
_151_,16.34µm
_187_,16.205µm
_171_,15.92µm
_270_,15.92µm
_259_,15.84µm
P[2],15.38µm
_169_,15.28µm
_173_,15.26µm
net51,15.22µm
_027_,15.18µm
_106_,15.06µm
_043_,15.04µm
_121_,14.87µm
_030_,14.62µm
_214_,14.62µm
_241_,14.6µm
_258_,14.6µm
_113_,14.475µm
_261_,14.06µm
_092_,13.78µm
_003_,13.76µm
_118_,13.72µm
_112_,13.64µm
_242_,13.58µm
_230_,13.3µm
_255_,13.26µm
net48,13.14µm
_186_,13.1µm
P[11],13.06µm
P[12],13.06µm
_021_,13.05µm
_070_,13.01µm
net25,12.92µm
_178_,12.84µm
net77,12.82µm
_138_,12.7µm
_269_,12.66µm
_137_,12.62µm
_167_,12.58µm
net10,12.54µm
_100_,12.52µm
_273_,12.46µm
_062_,12.33µm
_196_,12.3µm
_209_,12.18µm
P[13],12.14µm
A[1],12.06µm
_023_,12.02µm
_077_,11.9µm
_126_,11.84µm
_139_,11.72µm
_108_,11.6µm
A[0],11.48µm
A[2],11.48µm
_081_,11.16µm
_024_,11.08µm
_201_,11.08µm
_124_,11µm
_058_,10.98µm
P[14],10.88µm
_127_,10.86µm
_153_,10.86µm
_096_,10.855µm
_008_,10.7µm
_246_,10.66µm
_221_,10.46µm
_136_,10.28µm
_056_,10.24µm
_107_,10.24µm
_123_,10.205µm
_004_,10.2µm
_028_,10µm
P[15],9.96µm
_192_,9.94µm
_208_,9.9µm
_272_,9.84µm
_116_,9.7µm
B[2],9.64µm
_132_,9.61µm
_179_,9.6µm
_233_,9.52µm
_080_,9.48µm
P[3],9.42µm
_163_,9.42µm
_243_,9.42µm
_101_,9.36µm
A[4],9.3µm
B[3],9.18µm
_249_,9.12µm
_047_,9.08µm
_210_,9.08µm
P[1],8.96µm
P[4],8.96µm
B[0],8.84µm
_073_,8.84µm
A[3],8.72µm
B[1],8.72µm
_038_,8.36µm
_235_,8.22µm
_182_,8.16µm
_203_,8.12µm
_010_,8.075µm
_157_,8.02µm
_275_,7.88µm
_181_,7.68µm
_013_,7.56µm
_185_,7.56µm
_188_,7.56µm
_134_,7.52µm
net23,7.52µm
_205_,7.48µm
_017_,7.46µm
_133_,7.4µm
_049_,7.18µm
net24,7.16µm
_207_,7.14µm
_218_,7.14µm
_122_,7.08µm
_099_,7.065µm
_020_,7.06µm
_146_,7.06µm
_172_,7.06µm
P[9],6.89µm
_247_,6.86µm
_019_,6.82µm
_143_,6.78µm
_197_,6.72µm
_175_,6.66µm
_267_,6.66µm
net70,6.66µm
_183_,6.62µm
_009_,6.52µm
_094_,6.52µm
_271_,6.32µm
_228_,6.26µm
_026_,6.14µm
_022_,6.08µm
_194_,6.08µm
_011_,5.98µm
A[5],5.97µm
_114_,5.94µm
_263_,5.86µm
_148_,5.82µm
_068_,5.8µm
_102_,5.8µm
P[5],5.75µm
_065_,5.74µm
_061_,5.72µm
_170_,5.72µm
B[7],5.63µm
net60,5.56µm
B[6],5.41µm
P[10],5.41µm
P[6],5.41µm
_265_,5.4µm
net81,5.4µm
_200_,5.38µm
net74,5.26µm
P[8],5.19µm
net72,5.06µm
_079_,5.04µm
A[6],4.95µm
B[5],4.95µm
net67,4.92µm
_129_,4.88µm
_198_,4.88µm
net64,4.88µm
P[7],4.85µm
_066_,4.8µm
net73,4.8µm
_168_,4.76µm
B[4],4.73µm
_159_,4.7µm
_039_,4.66µm
A[7],4.61µm
net53,4.61µm
_057_,4.42µm
_086_,4.42µm
_150_,4.36µm
_104_,4.34µm
_237_,4.34µm
net71,4.32µm
_042_,4.22µm
_189_,4.1µm
_174_,4µm
_176_,4µm
_117_,3.9µm
net68,3.9µm
_109_,3.88µm
_045_,3.76µm
_154_,3.76µm
_048_,3.54µm
_060_,3.54µm
_089_,3.54µm
_098_,3.54µm
_110_,3.54µm
_125_,3.54µm
_018_,3.42µm
_156_,3.42µm
net57,3.42µm
_257_,3.3µm
_012_,3.22µm
_005_,3.08µm
_006_,2.76µm
_190_,2.76µm
_226_,2.76µm
_052_,2.64µm
_184_,2.64µm
_075_,2.62µm
_095_,2.62µm
_223_,2.52µm
_032_,2.5µm
_041_,2.5µm
_245_,2.5µm
_254_,2.5µm
_225_,2.4µm
_088_,2.3µm
_220_,2.18µm
net54,2.16µm
_067_,2.16µm
_216_,2.16µm
_232_,2.16µm
_260_,2.16µm
_180_,2.04µm
_240_,2.04µm
_053_,1.94µm
net65,1.84µm
_248_,1.72µm
_034_,1.7µm
_035_,1.7µm
_087_,1.7µm
_238_,1.7µm
_253_,1.7µm
_274_,1.7µm
net55,1.7µm
net62,1.6µm
_046_,1.38µm
_152_,0.8µm
