Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_64_405,VGND,li1,192.2800,184.9600,0.000020
FILLER_64_393,VGND,li1,189.0600,184.9600,0.000020
FILLER_64_389,VGND,li1,185.1500,184.9600,0.000020
FILLER_64_377,VGND,li1,181.7000,184.9600,0.000020
FILLER_64_365,VGND,li1,176.1800,184.9600,0.000025
FILLER_64_361,VGND,li1,172.2700,184.9600,0.000032
FILLER_64_349,VGND,li1,168.8200,184.9600,0.000039
FILLER_64_337,VGND,li1,163.3000,184.9600,0.000050
FILLER_64_333,VGND,li1,159.3900,184.9600,0.000060
FILLER_64_321,VGND,li1,155.9400,184.9600,0.000064
FILLER_64_309,VGND,li1,150.4200,184.9600,0.000075
FILLER_64_293,VGND,li1,140.9900,184.9600,0.000091
FILLER_64_281,VGND,li1,137.5400,184.9600,0.000092
FILLER_64_277,VGND,li1,133.6300,184.9600,0.000094
FILLER_64_265,VGND,li1,130.1800,184.9600,0.000095
FILLER_64_253,VGND,li1,124.6600,184.9600,0.000097
FILLER_64_247,VGND,li1,119.3700,184.9600,0.000099
FILLER_64_237,VGND,li1,115.4600,184.9600,0.000100
FILLER_64_225,VGND,li1,111.7800,184.9600,0.000101
FILLER_64_220,VGND,li1,107.6400,184.9600,0.000102
FILLER_64_208,VGND,li1,103.9600,184.9600,0.000103
FILLER_64_197,VGND,li1,96.6000,184.9600,0.000100
FILLER_64_181,VGND,li1,89.4700,184.9600,0.000094
FILLER_64_177,VGND,li1,87.1700,184.9600,0.000091
FILLER_64_169,VGND,li1,85.1000,184.9600,0.000088
FILLER_64_165,VGND,li1,82.1100,184.9600,0.000083
FILLER_64_153,VGND,li1,78.6600,184.9600,0.000080
FILLER_64_141,VGND,li1,73.1400,184.9600,0.000073
FILLER_64_137,VGND,li1,69.2300,184.9600,0.000068
FILLER_64_125,VGND,li1,65.7800,184.9600,0.000064
FILLER_64_113,VGND,li1,60.2600,184.9600,0.000057
FILLER_64_109,VGND,li1,56.3500,184.9600,0.000050
FILLER_64_97,VGND,li1,52.9000,184.9600,0.000048
FILLER_64_85,VGND,li1,47.3800,184.9600,0.000041
FILLER_64_81,VGND,li1,43.4700,184.9600,0.000036
FILLER_64_69,VGND,li1,40.0200,184.9600,0.000031
FILLER_64_57,VGND,li1,34.5000,184.9600,0.000024
FILLER_64_53,VGND,li1,30.5900,184.9600,0.000019
FILLER_64_41,VGND,li1,27.1400,184.9600,0.000015
FILLER_64_29,VGND,li1,21.6200,184.9600,0.000013
FILLER_64_27,VGND,li1,18.1700,184.9600,0.000013
FILLER_64_15,VGND,li1,15.1800,184.9600,0.000013
FILLER_64_3,VGND,li1,9.6600,184.9600,0.000013
FILLER_63_405,VGND,li1,192.2800,184.9600,0.000020
FILLER_63_393,VGND,li1,189.0600,184.9600,0.000020
FILLER_63_391,VGND,li1,185.6100,184.9600,0.000020
FILLER_63_385,VGND,li1,184.0000,184.9600,0.000020
FILLER_63_373,VGND,li1,179.8600,184.9600,0.000020
FILLER_63_361,VGND,li1,174.3400,184.9600,0.000028
FILLER_63_349,VGND,li1,168.8200,184.9600,0.000039
FILLER_63_337,VGND,li1,163.3000,184.9600,0.000050
FILLER_63_335,VGND,li1,159.8500,184.9600,0.000060
FILLER_63_329,VGND,li1,158.2400,184.9600,0.000060
FILLER_63_317,VGND,li1,154.1000,184.9600,0.000068
FILLER_63_305,VGND,li1,148.5800,184.9600,0.000081
FILLER_63_293,VGND,li1,143.0600,184.9600,0.000090
FILLER_63_281,VGND,li1,137.5400,184.9600,0.000092
FILLER_63_279,VGND,li1,134.0900,184.9600,0.000094
FILLER_63_273,VGND,li1,132.4800,184.9600,0.000094
FILLER_63_261,VGND,li1,128.3400,184.9600,0.000096
FILLER_63_249,VGND,li1,122.8200,184.9600,0.000099
FILLER_63_237,VGND,li1,117.3000,184.9600,0.000100
FILLER_63_225,VGND,li1,111.7800,184.9600,0.000101
FILLER_63_223,VGND,li1,108.3300,184.9600,0.000102
FILLER_63_217,VGND,li1,106.7200,184.9600,0.000102
FILLER_63_205,VGND,li1,102.5800,184.9600,0.000103
FILLER_63_193,VGND,li1,97.0600,184.9600,0.000100
FILLER_63_181,VGND,li1,91.5400,184.9600,0.000096
FILLER_63_169,VGND,li1,86.0200,184.9600,0.000088
FILLER_63_167,VGND,li1,82.5700,184.9600,0.000083
FILLER_63_161,VGND,li1,80.9600,184.9600,0.000083
FILLER_63_149,VGND,li1,76.8200,184.9600,0.000078
FILLER_63_137,VGND,li1,71.3000,184.9600,0.000071
FILLER_63_125,VGND,li1,65.7800,184.9600,0.000064
FILLER_63_113,VGND,li1,60.2600,184.9600,0.000057
FILLER_63_111,VGND,li1,56.8100,184.9600,0.000050
FILLER_63_105,VGND,li1,55.2000,184.9600,0.000050
FILLER_63_93,VGND,li1,51.0600,184.9600,0.000045
FILLER_63_81,VGND,li1,45.5400,184.9600,0.000038
FILLER_63_69,VGND,li1,40.0200,184.9600,0.000031
FILLER_63_57,VGND,li1,34.5000,184.9600,0.000024
FILLER_63_55,VGND,li1,31.0500,184.9600,0.000019
FILLER_63_51,VGND,li1,29.9000,184.9600,0.000019
FILLER_63_39,VGND,li1,26.2200,184.9600,0.000013
FILLER_63_27,VGND,li1,20.7000,184.9600,0.000013
FILLER_63_15,VGND,li1,15.1800,184.9600,0.000013
FILLER_63_3,VGND,li1,9.6600,184.9600,0.000013
FILLER_62_401,VGND,li1,191.3600,179.5200,0.000001
FILLER_62_389,VGND,li1,187.2200,179.5200,0.000001
FILLER_62_377,VGND,li1,181.7000,179.5200,0.000001
FILLER_62_365,VGND,li1,176.1800,179.5200,0.000002
FILLER_62_363,VGND,li1,172.7300,179.5200,0.000002
FILLER_62_357,VGND,li1,171.1200,179.5200,0.000002
FILLER_62_345,VGND,li1,166.9800,179.5200,0.000003
FILLER_62_333,VGND,li1,161.4600,179.5200,0.000004
FILLER_62_321,VGND,li1,155.9400,179.5200,0.000004
FILLER_62_309,VGND,li1,150.4200,179.5200,0.000005
FILLER_62_307,VGND,li1,146.9700,179.5200,0.000006
FILLER_62_301,VGND,li1,145.3600,179.5200,0.000006
FILLER_62_289,VGND,li1,141.2200,179.5200,0.000006
FILLER_62_277,VGND,li1,135.7000,179.5200,0.000007
FILLER_62_265,VGND,li1,130.1800,179.5200,0.000008
FILLER_62_253,VGND,li1,124.6600,179.5200,0.000009
FILLER_62_240,VGND,li1,118.6800,179.5200,0.000010
FILLER_62_228,VGND,li1,113.1600,179.5200,0.000010
FILLER_62_216,VGND,li1,107.6400,179.5200,0.000011
FILLER_62_204,VGND,li1,102.1200,179.5200,0.000012
FILLER_62_194,VGND,li1,95.2200,179.5200,0.000012
FILLER_62_185,VGND,li1,91.3100,179.5200,0.000012
FILLER_62_177,VGND,li1,88.7800,179.5200,0.000011
FILLER_62_165,VGND,li1,84.1800,179.5200,0.000011
FILLER_62_153,VGND,li1,78.6600,179.5200,0.000010
FILLER_62_141,VGND,li1,73.1400,179.5200,0.000009
FILLER_62_139,VGND,li1,69.6900,179.5200,0.000008
FILLER_62_133,VGND,li1,68.0800,179.5200,0.000008
FILLER_62_121,VGND,li1,63.9400,179.5200,0.000008
FILLER_62_109,VGND,li1,58.4200,179.5200,0.000007
FILLER_62_97,VGND,li1,52.9000,179.5200,0.000006
FILLER_62_85,VGND,li1,47.3800,179.5200,0.000005
FILLER_62_83,VGND,li1,43.9300,179.5200,0.000004
FILLER_62_77,VGND,li1,42.3200,179.5200,0.000004
FILLER_62_65,VGND,li1,38.1800,179.5200,0.000004
FILLER_62_53,VGND,li1,32.6600,179.5200,0.000003
FILLER_62_41,VGND,li1,27.1400,179.5200,0.000002
FILLER_62_29,VGND,li1,21.6200,179.5200,0.000002
FILLER_62_27,VGND,li1,18.1700,179.5200,0.000002
FILLER_62_15,VGND,li1,15.1800,179.5200,0.000002
FILLER_62_3,VGND,li1,9.6600,179.5200,0.000002
FILLER_61_405,VGND,li1,192.2800,179.5200,0.000001
FILLER_61_393,VGND,li1,189.0600,179.5200,0.000001
FILLER_61_391,VGND,li1,185.6100,179.5200,0.000001
FILLER_61_385,VGND,li1,184.0000,179.5200,0.000001
FILLER_61_373,VGND,li1,179.8600,179.5200,0.000001
FILLER_61_361,VGND,li1,174.3400,179.5200,0.000002
FILLER_61_349,VGND,li1,168.8200,179.5200,0.000003
FILLER_61_337,VGND,li1,163.3000,179.5200,0.000003
FILLER_61_335,VGND,li1,159.8500,179.5200,0.000004
FILLER_61_329,VGND,li1,158.2400,179.5200,0.000004
FILLER_61_317,VGND,li1,154.1000,179.5200,0.000005
FILLER_61_305,VGND,li1,148.5800,179.5200,0.000006
FILLER_61_293,VGND,li1,143.0600,179.5200,0.000006
FILLER_61_281,VGND,li1,137.5400,179.5200,0.000007
FILLER_61_279,VGND,li1,134.0900,179.5200,0.000008
FILLER_61_273,VGND,li1,132.4800,179.5200,0.000008
FILLER_61_261,VGND,li1,128.3400,179.5200,0.000008
FILLER_61_249,VGND,li1,122.8200,179.5200,0.000009
FILLER_61_237,VGND,li1,117.3000,179.5200,0.000010
FILLER_61_225,VGND,li1,111.7800,179.5200,0.000010
FILLER_61_223,VGND,li1,108.3300,179.5200,0.000011
FILLER_61_219,VGND,li1,107.1800,179.5200,0.000011
FILLER_61_207,VGND,li1,103.5000,179.5200,0.000012
FILLER_61_195,VGND,li1,97.9800,179.5200,0.000012
FILLER_61_183,VGND,li1,92.4600,179.5200,0.000012
FILLER_61_169,VGND,li1,84.6400,179.5200,0.000011
FILLER_61_167,VGND,li1,82.5700,179.5200,0.000010
FILLER_61_161,VGND,li1,80.9600,179.5200,0.000010
FILLER_61_149,VGND,li1,76.8200,179.5200,0.000010
FILLER_61_137,VGND,li1,71.3000,179.5200,0.000009
FILLER_61_125,VGND,li1,65.7800,179.5200,0.000008
FILLER_61_113,VGND,li1,60.2600,179.5200,0.000007
FILLER_61_111,VGND,li1,56.8100,179.5200,0.000006
FILLER_61_105,VGND,li1,55.2000,179.5200,0.000006
FILLER_61_93,VGND,li1,51.0600,179.5200,0.000006
FILLER_61_81,VGND,li1,45.5400,179.5200,0.000005
FILLER_61_69,VGND,li1,40.0200,179.5200,0.000004
FILLER_61_57,VGND,li1,34.5000,179.5200,0.000003
FILLER_61_55,VGND,li1,31.0500,179.5200,0.000002
FILLER_61_51,VGND,li1,29.9000,179.5200,0.000002
FILLER_61_39,VGND,li1,26.2200,179.5200,0.000002
FILLER_61_27,VGND,li1,20.7000,179.5200,0.000002
FILLER_61_15,VGND,li1,15.1800,179.5200,0.000002
FILLER_61_3,VGND,li1,9.6600,179.5200,0.000002
FILLER_60_401,VGND,li1,191.3600,174.0800,0.000000
FILLER_60_389,VGND,li1,187.2200,174.0800,0.000000
FILLER_60_377,VGND,li1,181.7000,174.0800,0.000000
FILLER_60_365,VGND,li1,176.1800,174.0800,0.000001
FILLER_60_363,VGND,li1,172.7300,174.0800,0.000001
FILLER_60_357,VGND,li1,171.1200,174.0800,0.000001
FILLER_60_345,VGND,li1,166.9800,174.0800,0.000001
FILLER_60_333,VGND,li1,161.4600,174.0800,0.000001
FILLER_60_321,VGND,li1,155.9400,174.0800,0.000002
FILLER_60_309,VGND,li1,150.4200,174.0800,0.000002
FILLER_60_307,VGND,li1,146.9700,174.0800,0.000002
FILLER_60_301,VGND,li1,145.3600,174.0800,0.000002
FILLER_60_289,VGND,li1,141.2200,174.0800,0.000002
FILLER_60_277,VGND,li1,135.7000,174.0800,0.000003
FILLER_60_265,VGND,li1,130.1800,174.0800,0.000003
FILLER_60_253,VGND,li1,124.6600,174.0800,0.000003
FILLER_60_251,VGND,li1,121.2100,174.0800,0.000003
FILLER_60_245,VGND,li1,119.6000,174.0800,0.000003
FILLER_60_233,VGND,li1,115.4600,174.0800,0.000004
FILLER_60_221,VGND,li1,109.9400,174.0800,0.000004
FILLER_60_209,VGND,li1,104.4200,174.0800,0.000004
FILLER_60_197,VGND,li1,98.9000,174.0800,0.000004
FILLER_60_194,VGND,li1,95.2200,174.0800,0.000005
FILLER_60_186,VGND,li1,92.9200,174.0800,0.000005
FILLER_60_177,VGND,li1,87.4000,174.0800,0.000005
FILLER_60_165,VGND,li1,84.1800,174.0800,0.000004
